evaluations,best
0,13418313031.203514
1,13083712980.7202
2,12667323962.444374
3,11799447774.891209
4,10692295279.157421
5,8657840858.371744
6,5637571203.585653
7,5132641324.982879
8,4981405793.247419
9,4883030336.376549
10,4847486014.166716
11,4805406099.638604
12,4771841580.203215
13,4764187213.652655
14,4751740335.04982
15,4739319881.4866
16,4720487109.825547
17,4717383946.119539
18,4713114218.08013
19,4709292254.060696
20,4705603904.638943
21,4704120770.467021
22,4701668773.153728
23,4698131971.124328
24,4692779129.716118
25,4685352699.01342
26,4677699535.945369
27,4665319260.93238
28,4645040469.763459
29,4609225123.990197
30,4544075485.736681
31,4425908584.245356
32,4207423901.3594255
33,3817623097.927736
34,3169152696.244354
35,2656248714.8105235
36,2222259640.574747
37,2093567394.0721736
38,1992629752.2263975
39,1977224085.7416575
40,1949697048.201099
41,1727828966.917977
42,1374436111.8242497
43,849254342.4750733
44,580634703.5619426
45,416496648.77015764
46,363359438.5952955
47,282167980.37874055
48,165571597.57270142
49,95002065.57843311
50,79818300.7622057
51,57481843.865342125
52,31775847.814288534
53,4223592.583732783
54,641462.4059715436
55,304251.8250486241
56,123559.02077858237
57,80212.68539919733
58,18751.678699576834
59,11145.562585798138
60,1186.1152587871752
61,17.701852142206054
62,5.70356320630366
63,0.2608036352654302
64,0.013188037042623401
65,2.147966376753883e-05
66,4.4738169738067927e-08
67,2.2944757289009293e-10
68,2.2589074101942095e-10
