evaluations,best
0,19460069109.27986
1,19031186578.075592
2,18448062235.11261
3,17621877116.405796
4,16355698788.70426
5,14002723970.481602
6,11782914075.83683
7,7373554886.702699
8,4366461415.178798
9,4301355280.092086
10,2331457795.267614
11,1430341043.225773
12,1020441096.4953301
13,908526249.4963057
14,857499518.9569713
15,805539092.695324
16,783249142.8543131
17,749026095.6289518
18,729155222.1472815
19,716771110.3507634
20,710251479.0630212
21,705850411.2491052
22,700022888.1676941
23,693404732.6185969
24,687165928.0491598
25,683704992.9836233
26,681729256.0411999
27,680899045.4061553
28,679797921.7181752
29,678313623.0819515
30,676833483.8052769
31,675419104.2013454
32,673891015.4329523
33,671976965.6813673
34,669515534.5194666
35,665415732.0866199
36,658607736.1563164
37,646693933.9457183
38,623878104.9861665
39,581542583.7709259
40,508562457.02440476
41,438857580.3155053
42,345900458.8201074
43,302883577.1820078
44,291371363.2630425
45,275790025.6390162
46,258166847.21014437
47,233365440.65644652
48,193438872.8946609
49,141294620.3228048
50,74764941.24481124
51,39421292.57863607
52,26353819.216548085
53,20936988.85128479
54,13306022.935329536
55,4367107.445177032
56,1531851.9264354594
57,619424.3399870952
58,309883.1329944932
59,67360.68035478145
60,8935.153206767724
61,4556.378713405321
62,447.37630394838266
63,263.5411639991561
64,47.818514378446416
65,11.22243728647843
66,0.26451769667213887
67,0.21161905407451329
68,0.11825427426365213
69,0.004853063438157958
70,2.2685306834975087e-10
71,2.257111359644511e-10
