,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
303,4.38860136512378e+19,,,,,,,,,,,,
400,,4.775570891782859e+19,4.775570891782859e+19,,,,,,,,,,
404,4.238365664776301e+19,,,,,,,,,,,,
505,4.1403758329983566e+19,,,,,,,,,,,,
606,4.0441737869350494e+19,,,,,,,,,,,,
703,,4.524802754662389e+19,4.153210783458736e+19,,,,,,,,,,
707,3.931053513599247e+19,,,,,,,,,,,,
800,,4.444523846079269e+19,4.016950866405756e+19,4.444523846079269e+19,,,,,,,,,
804,,4.4382775597133955e+19,4.011331900754087e+19,4.437196870972926e+19,,,,,,,,,
808,3.794313076233701e+19,,,,,,,,,,,,
905,,4.280558828975114e+19,3.927817206535837e+19,4.252190749537776e+19,,,,,,,,,
909,3.66271382625499e+19,,,,,,,,,,,,
1006,,4.122840098236833e+19,3.849618272262413e+19,4.067184628102624e+19,,,,,,,,,
1010,3.569089327826325e+19,,,,,,,,,,,,
1103,,3.9713676538644234e+19,3.752151958068432e+19,3.889505481773816e+19,,,,,,,,,
1107,,3.96512136749855e+19,3.7481327286171345e+19,3.884204620241505e+19,,,,,,,,,
1111,3.476789339429279e+19,,,,,,,,,,,,
1200,,3.8198952094920114e+19,3.6273283712600097e+19,3.760959589615291e+19,,,,,,,,,
1204,,3.812651048819245e+19,3.6221324849220686e+19,3.755658728082982e+19,,,,,,,,,
1208,,3.8054068881464754e+19,3.6169365985841287e+19,3.752545544457599e+19,,,,,,,,,
1212,3.4426475778415223e+19,,,,,,,,,,,,
1305,,3.6297359918318453e+19,3.49805195261771e+19,3.6770508415420727e+19,,,,,,,,,
1309,,3.6224918311590785e+19,3.493149492990229e+19,3.6741315678246298e+19,,,,,,,,,
1313,3.4083729153071043e+19,,,,,,,,,,,,
1406,,3.4468209348444484e+19,3.4120126085135725e+19,3.6033391801766195e+19,,,,,,,,,
1410,,3.4395767741716808e+19,3.4086667576073175e+19,3.599738216330369e+19,,,,,,,,,
1414,3.3796122950702666e+19,,,,,,,,,,,,
1507,,3.263905877857051e+19,3.3313125587260314e+19,3.512414843058831e+19,,,,,,,,,
1511,,3.2566617171842822e+19,3.3281226948546384e+19,3.5084583543118176e+19,,,,,,,,,
1515,3.3520463454696354e+19,,,,,,,,,,,,
1600,,3.095479142215189e+19,3.274860349228147e+19,3.4204264796907622e+19,,,,,,,,,
1608,,3.078382617599462e+19,3.2700727226549793e+19,3.4125135021967356e+19,,,,,,,,,
1612,,3.0698343552915993e+19,3.2676789093683954e+19,3.4084084557466853e+19,,,,,,,,,
1616,3.3394797405327483e+19,,,,,,,,,,,,
1709,,2.8625389943259062e+19,3.2398959948520542e+19,3.3088610793330237e+19,,,,,,,,,
1713,,2.8539907320180417e+19,3.238750307655504e+19,3.305697743627484e+19,,,,,,,,,
1717,3.3335316543412875e+19,,,,,,,,,,,,
1810,,2.646695371052351e+19,3.2122756161238077e+19,3.2289868527681343e+19,,,,,,,,,
1814,,2.638147108744487e+19,3.2111838762668302e+19,3.2260829398093824e+19,,,,,,,,,
1818,3.3295620997883027e+19,,,,,,,,,,,,
1911,,2.430851747778795e+19,3.2010450978466062e+19,3.1556630505596576e+19,,,,,,,,,
1915,,2.4223034854709314e+19,3.200627003891132e+19,3.1533650505943945e+19,,,,,,,,,
1919,3.3262727287481135e+19,,,,,,,,,,,,
2000,,2.24065291142883e+19,3.193840123896254e+19,3.104532551332551e+19,,,,,,,,,
2012,,2.2074788418753438e+19,3.1928819761322725e+19,3.097638551436761e+19,,,,,,,,,
2016,,2.196420818690848e+19,3.192562593544278e+19,3.0966802168844005e+19,,,,,,,,,
2020,3.32380122745388e+19,,,,,,,,,,,,
2113,,1.9282637564668387e+19,3.1863468682127663e+19,3.073440603989647e+19,,,,,,,,,
2117,,1.9172057332823437e+19,3.1860905496423952e+19,3.0726766297759494e+19,,,,,,,,,
2121,3.3227004357080048e+19,,,,,,,,,,,,
2214,,1.6490486710583333e+19,3.181168184758016e+19,3.0541502550938067e+19,,,,,,,,,
2218,,1.6379906478738383e+19,3.1809652006390723e+19,3.053569742829962e+19,,,,,,,,,
