num_evaluations,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
410,,1335.220103813374,605.4463373613411,613.7916959756745,670.1727500579846,,,,,,,,
412,,1325.1030415836556,605.4075276692847,613.6796404553479,667.9055311137917,,,,,,,,
414,,1314.9859793539365,605.3687179772282,613.567584935021,666.231456022222,,,,,,,,
418,601.4157289149666,,,,,,,,,,,,
421,,1279.5762615499218,605.2374138457706,613.1753906138775,660.3721932017284,,,,,,,,
423,,1269.4591993202034,605.1998983796398,613.0917583717303,658.6981181101587,,,,,,,,
425,,1259.3421370904846,605.162382913509,613.0081261295838,657.007431986342,,,,,,,,
429,600.9085681088924,,,,,,,,,,,,
432,,1223.9324192864694,605.0061662925283,612.715413282069,651.0900305529829,,,,,,,,
434,,1213.815357056751,604.961532972248,612.6483484400098,649.3993444291659,,,,,,,,
436,,1203.698294827032,604.9168996519679,612.5812835979508,647.9466742969049,,,,,,,,
440,600.5464793913172,1183.4641703675957,604.8365098734049,612.4471539138326,645.0413340323826,,,,,,,,
443,,1179.652028056,604.776217539483,612.346556650744,642.8623288339909,,,,,,,,
445,,1177.1105998482706,604.7360226502013,612.2785421023001,641.4096587017298,,,,,,,,
447,,1174.5691716405404,604.6958277609197,612.2105275538565,640.2222179393383,,,,,,,,
451,600.1690532460894,,,,,,,,,,,,
454,,1165.6741729134849,604.5763733452591,611.9724766343035,636.0661752709682,,,,,,,,
456,,1163.1327447057547,604.5422435122132,611.9198297659048,634.8787345085766,,,,,,,,
458,,1160.5913164980248,604.5081136791671,611.8671828975059,634.0651376709925,,,,,,,,
462,599.9313815569453,,,,,,,,,,,,
465,,1151.6963177709692,604.4264721689772,611.6829188581102,631.2175487394487,,,,,,,,
467,,1149.1548895632393,604.4031460232087,611.6415385729832,630.4039519018646,,,,,,,,
469,,1146.6134613555091,604.3798198774402,611.6001582878566,629.8616793423836,,,,,,,,
473,599.7764154996215,,,,,,,,,,,,
476,,1137.7184626284538,604.2738483796813,611.4553272899129,627.9637253841997,,,,,,,,
478,,1135.1770344207234,604.2435708088932,611.4187575050763,627.4214528247182,,,,,,,,
480,,1132.6356062129935,604.2132932381047,611.3821877202398,626.6797911468199,,,,,,,,
484,599.6718990212286,,,,,,,,,,,,
487,,1126.759970465232,604.1277367550622,611.2541934733115,624.0839752741755,,,,,,,,
489,,1125.0812173944425,604.1032920456214,611.2170170499301,623.3423135962771,,,,,,,,
491,,1123.402464323653,604.0788473361804,611.1798406265483,622.5999866412369,,,,,,,,
495,599.5728819773068,,,,,,,,,,,,
498,,1117.526828575891,604.0053740492712,611.0497231447131,620.0018422985962,,,,,,,,
500,,1115.8480755051019,603.9843816815827,611.0071794571711,619.2595153435562,,,,,,,,
502,,1114.1693224343128,603.9633893138945,610.9646357696296,618.5887028986987,,,,,,,,
506,599.4750515851999,,,,,,,,,,,,
509,,1108.2936866865507,603.905138210534,610.8157328632337,616.2408593416983,,,,,,,,
511,,1106.6149336157616,603.8884950381454,610.7787152094429,615.5700468968407,,,,,,,,
513,,1104.9361805449726,603.8718518657568,610.7416975556521,614.9618393530906,,,,,,,,
517,599.3736793278504,,,,,,,,,,,,
520,,1099.0605447972102,603.7996870761465,610.6121357673842,612.8331129499644,,,,,,,,
522,,1097.615721075226,603.7790685648292,610.5776096745035,612.2249054062141,,,,,,,,
524,,1096.1708973532423,603.758450053512,610.5430835816228,611.743855452607,,,,,,,,
528,599.2372291667245,,,,,,,,,,,,
531,,1091.1140143262974,603.7173063294209,610.4222422565402,610.0601806149815,,,,,,,,
533,,1089.6691906043134,603.7055509796807,610.387021881092,609.5791306613745,,,,,,,,
535,,1088.2243668823292,603.6937956299406,610.3518015056437,609.1032103483481,,,,,,,,
539,599.0728015956503,,,,,,,,,,,,
542,,1083.167483855385,603.6673683960121,610.2285301915749,607.4374892527552,,,,,,,,
544,,1081.7226601334003,603.6598177577466,610.1887237115426,606.9615689397286,,,,,,,,
546,,1080.2778364114167,603.6522671194812,610.14891723151,606.5724234348949,,,,,,,,
550,598.9574024363609,,,,,,,,,,,,
553,,1075.220953384472,603.6222784321961,610.0095945513968,605.2104141679768,,,,,,,,
555,,1073.776129662488,603.6137102358291,609.9497259621697,604.8212686631429,,,,,,,,
