,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
202,,,,,,,,,,,,,
303,,,,,,,,,,,,,
400,,20020.84164220432,20020.84164220432,,,,,,,,,,
404,19011.778845603858,,,,,,,,,,,,
505,17806.27136000512,,,,,,,,,,,,
602,,19850.26157309655,19834.49716965379,,,,,,,,,,
606,16715.379580738583,,,,,,,,,,,,
703,,19764.971538542668,19612.465779383772,,,,,,,,,,
707,15481.224065991515,,,,,,,,,,,,
800,,19683.05932713944,18825.441634143426,19683.05932713944,,,,,,,,,
804,,19679.18386322101,18792.987030215998,19680.72726289759,,,,,,,,,
808,14296.757179012762,,,,,,,,,,,,
905,,19581.32839928079,17671.1002614157,19621.842640791005,,,,,,,,,
909,13193.428165383564,,,,,,,,,,,,
1002,,19487.34839925899,16671.51121765756,19565.290082926258,,,,,,,,,
1006,,19483.472935340564,16630.291050904634,19554.848665770507,,,,,,,,,
1010,12074.72715100657,,,,,,,,,,,,
1103,,19389.492935318776,15603.761819932937,19301.64429974355,,,,,,,,,
1107,,19385.617471400354,15561.43071762483,19271.763500361172,,,,,,,,,
1111,11227.125786031964,,,,,,,,,,,,
1200,,19295.512935296978,14583.285863462044,18577.03491472109,,,,,,,,,
1204,,19291.83141587331,14541.215117046435,18547.154115338722,,,,,,,,,
1208,,19288.14989644963,14499.144370630831,18504.682010634264,,,,,,,,,
1212,10542.481620480952,,,,,,,,,,,,
1305,,19198.873050425616,13390.583673840998,17474.73347155123,,,,,,,,,
1309,,19195.191531001947,13344.86983067441,17431.71134334557,,,,,,,,,
1313,9882.638104203408,,,,,,,,,,,,
1406,,19105.914684977924,12248.87834482264,16388.424734358323,,,,,,,,,
1410,,19102.233165554248,12203.68281963288,16344.479671460245,,,,,,,,,
1414,9351.811291088872,,,,,,,,,,,,
1507,,19012.95631953024,11403.25603010795,15278.811896181942,,,,,,,,,
1511,,19009.274800106563,11370.248739818262,15236.907540521117,,,,,,,,,
1515,8841.610711164942,,,,,,,,,,,,
1600,,18927.360992929884,10757.023482019982,14304.535627067648,,,,,,,,,
1608,,18918.99178399623,10701.902110532494,14220.72691574598,,,,,,,,,
1612,,18914.8071795294,10674.34142478875,14178.737424464656,,,,,,,,,
1616,8420.251065779621,,,,,,,,,,,,
1709,,18813.330521208816,10052.316314824559,13160.492260892495,,,,,,,,,
1713,,18809.145916741993,10026.665794826036,13118.666060972326,,,,,,,,,
1717,8019.089867740757,,,,,,,,,,,,
1810,,18707.669258421407,9461.069576655851,12104.380712908269,,,,,,,,,
1814,,18703.48465395458,9437.74602126739,12073.536189044176,,,,,,,,,
1818,7737.5120529916285,,,,,,,,,,,,
1911,,18602.00799563399,8942.053162181504,11325.556485339861,,,,,,,,,
1915,,18597.823391167167,8921.612219538783,11299.946546541554,,,,,,,,,
1919,7439.418719119937,,,,,,,,,,,,
2000,,18508.900546247067,8538.888518716101,10755.735347077569,,,,,,,,,
2012,,18491.333225593666,8484.856937423488,10678.905530682654,,,,,,,,,
2016,,18485.477452042534,8466.846410325952,10657.800664855291,,,,,,,,,
2020,7176.9304541720285,,,,,,,,,,,,
