,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
202,,,,,,,,,,,,,
303,,,,,,,,,,,,,
400,,57280885563.00966,57280885563.00966,,,,,,,,,,
404,35941398426.01116,,,,,,,,,,,,
505,31085867792.030094,,,,,,,,,,,,
602,,55082609653.6163,49680737703.731346,,,,,,,,,,
606,30112725995.96156,,,,,,,,,,,,
703,,53983471698.91957,45874077301.802315,,,,,,,,,,
707,29221216326.019596,,,,,,,,,,,,
800,,52927863960.250496,34083344901.410923,52927863960.250496,,,,,,,,,
804,,52867047805.781624,33597129132.322613,52794192770.499954,,,,,,,,,
808,28671203488.41855,,,,,,,,,,,,
905,,51331439905.44225,29385645371.915016,49418995229.298004,,,,,,,,,
909,28169353650.940243,,,,,,,,,,,,
1002,,49856648159.571754,27488009075.36883,46177468877.84665,,,,,,,,,
1006,,49795832005.10288,27409756032.212303,46043620023.732605,,,,,,,,,
1010,27686324997.45491,,,,,,,,,,,,
1103,,48321040259.2324,25882583898.02413,42797785311.467316,,,,,,,,,
1107,,48260224104.76352,25819607727.54213,42388956475.56522,,,,,,,,,
1111,27209219643.460224,,,,,,,,,,,,
1200,,46846248513.36189,24791240034.869137,32883686040.841496,,,,,,,,,
1204,,46759270423.49136,24747009166.36707,32474857204.939384,,,,,,,,,
1208,,46672292333.62083,24702778297.865005,32334369336.314056,,,,,,,,,
1212,26749939230.568756,,,,,,,,,,,,
1305,,44563073654.26035,24462344806.756973,28927538522.149815,,,,,,,,,
1309,,44476095564.38982,24452430023.618484,28854446722.5873,,,,,,,,,
1313,26350907699.063866,,,,,,,,,,,,
1406,,42366876885.02935,24229349932.13315,27081970583.19664,,,,,,,,,
1410,,42279898795.15882,24220150753.10282,27021134856.40294,,,,,,,,,
1414,25976805576.61623,,,,,,,,,,,,
1507,,40170680115.79835,24050273297.679527,25545868481.655594,,,,,,,,,
1511,,40083702025.92781,24043268041.785786,25510496727.863163,,,,,,,,,
1515,25603661954.93037,,,,,,,,,,,,
1600,,38148439526.308395,23928658978.909866,24723475205.981583,,,,,,,,,
1608,,37906104332.877464,23918357040.67386,24652731698.396725,,,,,,,,,
1612,,37784936736.162025,23913206071.555832,24632278077.264835,,,,,,,,,
1616,25509614622.451782,,,,,,,,,,,,
1709,,34846622515.81221,23795450976.880367,24136277764.81667,,,,,,,,,
1713,,34725454919.09673,23790595096.687557,24117151973.108658,,,,,,,,,
1717,25416794879.48228,,,,,,,,,,,,
1810,,31787140698.74691,23677364355.183643,23653351524.189552,,,,,,,,,
1814,,31665973102.03146,23672695046.25566,23638908975.437187,,,,,,,,,
1818,25318578714.51214,,,,,,,,,,,,
1911,,28727658881.681637,23560683958.891026,23288677168.19238,,,,,,,,,
1915,,28606491284.966175,23556064944.97909,23275199406.499287,,,,,,,,,
1919,25222727498.57917,,,,,,,,,,,,
2000,,26031679854.762726,23472148413.081123,22988796970.52108,,,,,,,,,
2012,,25686043827.856003,23460301373.283756,22948363685.441807,,,,,,,,,
2016,,25570831818.88709,23456352360.017967,22936814027.6838,,,,,,,,,
2020,25107407608.206577,,,,,,,,,,,,
