,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
400,,401658.4999529656,401658.4999529656,,,,,,,,,,
404,344533.8535175747,,,,,,,,,,,,
505,280247.7220025891,,,,,,,,,,,,
606,204737.67110086608,,,,,,,,,,,,
707,127796.38488782423,,,,,,,,,,,,
800,,395135.9846218764,341216.3997647231,395135.9846218764,,,,,,,,,
804,,395033.9404287789,340611.97876284085,394550.4966869162,,,,,,,,,
808,70260.32814994096,,,,,,,,,,,,
905,,392457.32455307076,276742.276339113,379766.9263291706,,,,,,,,,
909,35557.284826558825,,,,,,,,,,,,
1006,,389880.7086773625,202154.52895633716,364983.3559714252,,,,,,,,,
1010,19603.525524238492,,,,,,,,,,,,
1107,,387304.09280165425,126111.69549015563,350199.7856136797,,,,,,,,,
1111,12008.695830900419,,,,,,,,,,,,
1200,,384931.56531214097,74322.93291406831,336587.19112585485,,,,,,,,,
1204,,384771.0625165663,72095.45925488176,336001.70319089456,,,,,,,,,
1208,,384610.55972099194,69867.98559569522,333495.63659517973,,,,,,,,,
1212,7829.983365550383,,,,,,,,,,,,
1305,,380718.3669283077,37220.52646774365,272723.5216490966,,,,,,,,,
1309,,380557.8641327333,35874.23949339514,269838.13119217515,,,,,,,,,
1313,5697.086840475476,,,,,,,,,,,,
1406,,376665.6713400493,20496.615029906396,199867.41261183014,,,,,,,,,
1410,,376505.16854447493,19862.48618605119,196837.8979311001,,,,,,,,,
1414,4459.582139193446,,,,,,,,,,,,
1507,,372612.9757517909,13114.714345355302,123372.16692339646,,,,,,,,,
1511,,372452.4729562163,12836.455712749288,121165.25730890548,,,,,,,,,
1515,3375.6135857687837,,,,,,,,,,,,
1600,,368881.2857546817,9409.843491792506,72061.51838648005,,,,,,,,,
1608,,368390.34286371,9101.83340451549,67647.699157498,,,,,,,,,
1612,,368144.8714182243,8947.828360876982,66372.83589913088,,,,,,,,,
1616,2634.4066803852093,,,,,,,,,,,,
1709,,362192.18886519375,6518.926167660477,35457.40188372806,,,,,,,,,
1713,,361946.717419708,6418.765252476291,34805.973879730635,,,,,,,,,
1717,2180.243716410654,,,,,,,,,,,,
1810,,355994.03486667754,4880.738456488845,19008.844782793283,,,,,,,,,
1814,,355748.5634211917,4817.314671087302,18733.59719601837,,,,,,,,,
1818,1898.4269784684793,,,,,,,,,,,,
1911,,349795.88086816116,3616.683941114362,12058.843216726737,,,,,,,,,
1915,,349550.40942267544,3567.1733955484674,11904.959095155564,,,,,,,,,
1919,1672.7228060284585,,,,,,,,,,,,
2000,,344334.1412061022,2938.238009310618,8634.921511768243,,,,,,,,,
2012,,343203.9363684803,2849.447131253511,8173.26914705474,,,,,,,,,
2016,,342827.2014226065,2819.850171901142,8077.530988243718,,,,,,,,,
2020,1532.5648442338486,,,,,,,,,,,,
2113,,333691.3789851626,2366.981061665183,5755.880637076435,,,,,,,,,
2117,,333314.64403928857,2348.306046810091,5702.25122012513,,,,,,,,,
2121,1414.173633476268,,,,,,,,,,,,
2214,,324178.82160184474,2043.066129648349,4401.737859056009,,,,,,,,,
2218,,323802.0866559708,2030.4789165695145,4362.824945493579,,,,,,,,,
2222,1325.2785911490125,,,,,,,,,,,,
