,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
400,,2245077271772.6074,2245077271772.6074,,,,,,,,,,
404,1901687900651.3313,,,,,,,,,,,,
505,1804004544002.1882,,,,,,,,,,,,
606,1705351329197.7498,,,,,,,,,,,,
707,1599992947432.5935,,,,,,,,,,,,
800,,2204581337873.9883,1881505972265.6863,2204581337873.9883,,,,,,,,,
804,,2203932624491.969,1877870259270.6172,2201074791664.66,,,,,,,,,
808,1527319500200.1377,,,,,,,,,,,,
905,,2187552611595.9944,1781088106491.6409,2112534499879.1504,,,,,,,,,
909,1486257589958.8088,,,,,,,,,,,,
1006,,2171172598700.02,1683993736455.4229,2023994208093.6414,,,,,,,,,
1010,1464859839151.304,,,,,,,,,,,,
1107,,2154792585804.0447,1579699885405.384,1935453916308.1309,,,,,,,,,
1111,1450252890937.326,,,,,,,,,,,,
1200,,2139709999672.1082,1510291461441.6282,1853926716941.2744,,,,,,,,,
1204,,2138794153817.482,1507306152884.0469,1850420170731.9468,,,,,,,,,
1208,,2137878307962.8564,1504320844326.4663,1846457869736.1538,,,,,,,,,
1212,1442477498481.205,,,,,,,,,,,,
1305,,2115669045988.1782,1465307917280.0894,1750372070588.1497,,,,,,,,,
1309,,2114753200133.5515,1463699136783.3315,1746461107054.848,,,,,,,,,
1313,1437097572633.7627,,,,,,,,,,,,
1406,,2092543938158.8735,1442557138233.792,1651620241372.2642,,,,,,,,,
1410,,2091628092304.2476,1441685303242.0583,1647292756812.887,,,,,,,,,
1414,1432982564231.213,,,,,,,,,,,,
1507,,2069418830329.5696,1427749988020.6553,1542351256247.9966,,,,,,,,,
1511,,2068502984474.9429,1427175335846.5762,1539478236475.333,,,,,,,,,
1515,1430336315131.307,,,,,,,,,,,,
1600,,2048125414209.5159,1420432367051.0522,1475553546533.555,,,,,,,,,
1608,,2044889964232.584,1419826257496.3987,1469807506988.2273,,,,,,,,,
1612,,2043272239244.1174,1419523202719.0715,1468111834621.5493,,,,,,,,,
1616,1429039652793.396,,,,,,,,,,,,
1709,,2004042408273.8057,1414745723439.7688,1426991779729.6208,,,,,,,,,
1713,,2002424683285.3381,1414548713984.9521,1426127906544.99,,,,,,,,,
1717,1428130396089.1772,,,,,,,,,,,,
1810,,1963194852315.0264,1410566923962.0264,1405178981817.6912,,,,,,,,,
