,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
202,,,,,,,,,,,,,
303,,,,,,,,,,,,,
400,,34025.843686758606,34025.843686758606,,,,,,,,,,
404,,,,,,,,,,,,,
505,23428.069446289384,,,,,,,,,,,,
602,,33079.253885582,33219.69764554272,,,,,,,,,,
606,18870.883038956657,,,,,,,,,,,,
703,,32605.958984993704,32199.242640159475,,,,,,,,,,
707,15660.113235476196,,,,,,,,,,,,
800,,32151.408436903945,28276.379221664876,32151.408436903945,,,,,,,,,
804,,32131.97984495037,28114.611658015616,32139.31747248188,,,,,,,,,
808,13477.535190333236,,,,,,,,,,,,
905,,31641.407898122325,23472.185709163947,31834.02062082458,,,,,,,,,
909,11905.988914264184,,,,,,,,,,,,
1002,,31170.26454324788,18959.383123499505,31540.814733589366,,,,,,,,,
1006,,31150.835951294284,18773.288171513344,31513.968385524826,,,,,,,,,
1010,10505.777213520265,,,,,,,,,,,,
1103,,30679.692596419864,15250.76550890022,30862.944444959765,,,,,,,,,
1107,,30660.264004466273,15105.506842400702,30737.927481543356,,,,,,,,,
1111,9428.431264077455,,,,,,,,,,,,
1200,,30208.549241545406,12670.030589104646,27831.283082111953,,,,,,,,,
1204,,30186.643447998078,12565.278922296215,27706.26611869555,,,,,,,,,
1208,,30164.737654450764,12460.527255487785,27542.979760410315,,,,,,,,,
1212,8328.019716970804,,,,,,,,,,,,
1305,,29633.522160928034,10624.249838954112,23583.285571993194,,,,,,,,,
1309,,29611.616367380706,10548.527058890868,23419.38271699063,,,,,,,,,
1313,7588.230869141157,,,,,,,,,,,,
1406,,29080.400873857994,9458.685745004226,19444.73848317854,,,,,,,,,
1410,,29058.495080310662,9413.743835153231,19281.051671599384,,,,,,,,,
1414,6932.017643375584,,,,,,,,,,,,
1507,,28527.27958678794,8327.218435689225,15311.646490804766,,,,,,,,,
1511,,28505.37379324064,8282.413264577308,15199.134935867865,,,,,,,,,
1515,6375.414137292199,,,,,,,,,,,,
1600,,28017.969886812585,7522.734862391941,12695.752838521863,,,,,,,,,
1608,,27989.58198053306,7454.4491633190955,12470.729728648063,,,,,,,,,
1612,,27975.38802739331,7420.306313782674,12389.805600541287,,,,,,,,,
1616,5869.148421274859,,,,,,,,,,,,
1709,,27631.184663754244,6850.15120601892,10427.395493951984,,,,,,,,,
1713,,27616.990710614493,6826.639655183303,10372.656083340617,,,,,,,,,
1717,5346.15952570901,,,,,,,,,,,,
1810,,27272.787346975423,6186.6505153592525,9045.225376014954,,,,,,,,,
1814,,27258.59339383567,6160.259210624241,9002.729902311747,,,,,,,,,
1818,4908.847526490403,,,,,,,,,,,,
1911,,26914.39003019659,5618.727182352971,7972.214665008814,,,,,,,,,
1915,,26900.19607705684,5596.3959646922995,7934.181244782563,,,,,,,,,
1919,4461.621788462781,,,,,,,,,,,,
2000,,26598.574572837042,5155.37993935293,7125.971064974681,,,,,,,,,
2012,,26570.118466439093,5093.118853422664,7011.8708042959215,,,,,,,,,
2016,,26560.633097639773,5072.365158112576,6984.446067112887,,,,,,,,,
2020,3870.0281724000197,,,,,,,,,,,,
