,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
400,,365453159032.2081,365453159032.2081,,,,,,,,,,
404,313933644451.4225,,,,,,,,,,,,
505,265839031571.00583,,,,,,,,,,,,
606,235085426551.8817,,,,,,,,,,,,
707,222799794701.91156,,,,,,,,,,,,
800,,359612267704.8424,310944597207.6139,359612267704.8424,,,,,,,,,
804,,359515321910.84064,310399511589.3678,359083921367.20056,,,,,,,,,
808,217001597065.79077,,,,,,,,,,,,
905,,357067440612.2989,262860177198.0619,345743176341.74536,,,,,,,,,
909,214825378737.36255,,,,,,,,,,,,
1006,,354619559313.7571,232671184189.65668,332402431316.29,,,,,,,,,
1010,213495629310.20386,,,,,,,,,,,,
1107,,352171678015.2152,221483360585.14484,319061686290.8347,,,,,,,,,
1111,212890086074.2581,,,,,,,,,,,,
1200,,349917688304.6766,215829491976.96786,306777633940.6629,,,,,,,,,
1204,,349773645415.6721,215586314832.53015,306249287603.0211,,,,,,,,,
1208,,349629602526.6676,215343137688.09247,304375225711.0436,,,,,,,,,
1212,212586978816.4921,,,,,,,,,,,,
1305,,346136562468.30786,213514753463.97476,258929224830.58826,,,,,,,,,
1309,,345992519579.30316,213439356176.38226,257732151608.9266,,,,,,,,,
1313,212429772712.20688,,,,,,,,,,,,
1406,,342499479520.9434,212367772959.92007,228703125983.63123,,,,,,,,,
1410,,342355436631.93884,212323583961.3031,228256450057.71814,,,,,,,,,
1414,212340765876.21194,,,,,,,,,,,,
1507,,338862396573.579,211863295343.20847,217424558854.32755,,,,,,,,,
1511,,338718353684.5744,211844314369.26645,217186480186.19458,,,,,,,,,
1515,212285560305.92017,,,,,,,,,,,,
1600,,335513399404.2237,211607529156.36008,211889229820.2374,,,,,,,,,
1608,,335063982880.594,211586245092.2787,211413072483.97156,,,,,,,,,
1612,,334839274618.77905,211575603060.23788,211333547448.60034,,,,,,,,,
1616,212243600616.7161,,,,,,,,,,,,
1709,,329390099269.76825,211455762811.58902,209405065340.84973,,,,,,,,,
1713,,329165391007.95337,211450820945.66534,209357712445.591,,,,,,,,,
1717,212215035629.62274,,,,,,,,,,,,
1810,,323716215658.9424,211366610038.13278,208209404735.56686,,,,,,,,,
1814,,323491507397.12744,211363137423.38907,208190507613.06943,,,,,,,,,
1818,212200981508.05276,,,,,,,,,,,,
1911,,318042332048.11676,211309435264.4177,207732252392.50476,,,,,,,,,
1915,,317817623786.3018,211307220742.39816,207721558174.4651,,,,,,,,,
1919,212188663611.9661,,,,,,,,,,,,
2000,,313042573222.7356,211276533776.3447,207494306041.12253,,,,,,,,,
2012,,312018572449.87177,211272201498.78418,207462223387.00354,,,,,,,,,
2016,,311677238858.9171,211270757406.26395,207457758113.168,,,,,,,,,
2020,212180893656.69644,,,,,,,,,,,,
2113,,303399899278.2672,211248304970.90555,207349475222.65527,,,,,,,,,
2117,,303058565687.3125,211247379097.2824,207346288799.0144,,,,,,,,,
2121,212174943405.59122,,,,,,,,,,,,
2214,,294781226106.66235,211230549196.5504,207269018025.72617,,,,,,,,,
2218,,294439892515.7079,211229855180.02542,207266811213.72083,,,,,,,,,
2222,212170131739.96527,,,,,,,,,,,,
2315,,286162552935.0578,211218233790.31473,207213296022.59183,,,,,,,,,
2319,,285821219344.1031,211217754557.74948,207211698137.60648,,,,,,,,,
2323,212165697019.38852,,,,,,,,,,,,
2400,,278909214127.2717,211210625736.07935,207179340966.65308,,,,,,,,,
2416,,277071713243.9512,211209217573.7741,207172949426.71173,,,,,,,,,
2420,,276612338023.1211,211208865533.1978,207171958007.1955,,,,,,,,,
2424,212161674256.6101,,,,,,,,,,,,
2517,,265472488917.99097,211203778150.3534,207147916083.92828,,,,,,,,,
2521,,265013113697.16074,211203568361.37015,207147295089.40927,,,,,,,,,
2525,212157626876.30133,,,,,,,,,,,,
2618,,253873264592.0304,211199621359.76376,207132235972.32535,,,,,,,,,
2622,,253413889371.20044,211199458596.8109,207131783817.81882,,,,,,,,,
2626,212153614848.2384,,,,,,,,,,,,
2719,,242274040266.07016,211195111025.35876,207120819071.0349,,,,,,,,,
2723,,241814665045.23996,211194931744.06177,207120471992.81116,,,,,,,,,
2727,212148599442.55878,,,,,,,,,,,,
2800,,232971692044.2603,211191440491.42,207113790737.00266,232971692044.2603,,,,,,,,
2820,,230490243694.1497,211190533672.55203,207112055345.8836,232370814652.58142,,,,,,,,
2824,,229993954024.12753,211190352308.77835,207111821336.79504,232250639174.24564,,,,,,,,
2828,212141962462.66058,,,,,,,,,,,,
2921,,217958929526.0912,211186970813.63416,207106146616.40015,229336383824.60272,,,,,,,,
