,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
202,,,,,,,,,,,,,
303,,,,,,,,,,,,,
400,,840396.7031328407,840396.7031328407,,,,,,,,,,
404,,,,,,,,,,,,,
505,,,,,,,,,,,,,
602,,837705.3287718899,774811.6907772969,,,,,,,,,,
606,402554.5173119672,,,,,,,,,,,,
703,,836359.6415914143,739447.193258087,,,,,,,,,,
707,254175.09737535703,,,,,,,,,,,,
800,,835067.2489527399,704581.7600611617,835067.2489527399,,,,,,,,,
804,,834985.5042001893,703144.0102386076,833962.2595987784,,,,,,,,,
808,199520.20485195375,,,,,,,,,,,,
905,,832921.4491982892,646511.0023156453,806061.2784112574,,,,,,,,,
909,169672.78269060107,,,,,,,,,,,,
1002,,830939.1389489393,398911.3067678021,779265.2865776974,,,,,,,,,
1006,,830857.394196389,388701.01004417957,778116.8668624297,,,,,,,,,
1010,149013.0099172663,,,,,,,,,,,,
1103,,828875.0839470392,252171.43155659531,750267.6887671842,,,,,,,,,
1107,,828793.3391944888,246541.3458457672,748926.281326229,,,,,,,,,
1111,132028.79864888775,,,,,,,,,,,,
1200,,826892.7736976896,194274.50896011732,717738.5583240252,,,,,,,,,
1204,,826763.9437615356,192026.47296503567,716397.1508830701,,,,,,,,,
1208,,826635.1138253813,189778.43696995388,713586.1968408216,,,,,,,,,
1212,117651.16325740881,,,,,,,,,,,,
1305,,823510.9878736432,161198.83183966402,645420.5613162931,,,,,,,,,
1309,,823382.157937489,160020.2914219201,635731.6425629717,,,,,,,,,
1313,104625.96313043227,,,,,,,,,,,,
1406,,820258.0319857509,138102.7042161858,400775.3627949164,,,,,,,,,
1410,,820129.2020495966,137198.8861870834,394900.87359026837,,,,,,,,,
1414,92873.33437678099,,,,,,,,,,,,
1507,,817005.0760978583,120618.20027886369,252444.51037755198,,,,,,,,,
1511,,816876.2461617047,119934.46065378247,250224.47340239934,,,,,,,,,
1515,82263.6695452758,,,,,,,,,,,,
1600,,814009.7800822746,105200.67333290598,200828.65070525263,,,,,,,,,
1608,,813576.2242914257,103876.28795574856,196388.5767549473,,,,,,,,,
1612,,813359.4463960008,103214.09526716979,195114.40476260678,,,,,,,,,
1616,73315.26336017688,,,,,,,,,,,,
1709,,808102.5824319541,90050.91711778734,164215.73394834768,,,,,,,,,
1713,,807885.8045365303,89508.1056477097,163272.88556726428,,,,,,,,,
1717,66235.73009728233,,,,,,,,,,,,
1810,,802628.9405724833,78739.50974459984,140408.81232599163,,,,,,,,,
1814,,802412.1626770588,78295.44393416234,139668.50702143816,,,,,,,,,
1818,60797.969373953594,,,,,,,,,,,,
1911,,797155.2987130125,69740.74456419906,121716.10338601795,,,,,,,,,
1915,,796938.5208175879,69387.97345615932,121112.90421356299,,,,,,,,,
1919,56379.784136580274,,,,,,,,,,,,
2000,,792331.9905398157,63703.35579255698,108294.92179889507,,,,,,,,,
2012,,791334.0366796248,62900.82153416609,106485.32428153018,,,,,,,,,
2016,,791001.3853928945,62633.31011470241,105998.07681282722,,,,,,,,,
2020,52528.67742098488,,,,,,,,,,,,
