,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
202,,,,,,,,,,,,,
303,121393.66129718171,,,,,,,,,,,,
400,,122202.6896507162,122202.6896507162,,,,,,,,,,
404,119431.86057603559,,,,,,,,,,,,
505,117318.21725860266,,,,,,,,,,,,
602,,121548.91733527018,122056.03075322603,,,,,,,,,,
606,114055.63089037454,,,,,,,,,,,,
703,,121222.03117754712,120102.00977765693,,,,,,,,,,
707,109241.23121610896,,,,,,,,,,,,
800,,120908.09100626857,117986.38709085759,120908.09100626857,,,,,,,,,
804,,120896.92188166002,117899.14491820603,120904.96351989883,,,,,,,,,
808,101928.21483142929,,,,,,,,,,,,
905,,120614.90148529303,115115.60334740194,120825.9944890621,,,,,,,,,
909,91917.72016260818,,,,,,,,,,,,
1002,,120344.0502135346,110192.23813581088,120750.15294459516,,,,,,,,,
1006,,120332.881088926,109989.21276626062,120681.77497122072,,,,,,,,,
1010,77602.96057981047,,,,,,,,,,,,
1103,,120062.02981716763,102851.10576557968,119023.60911689041,,,,,,,,,
1107,,120050.86069255907,102556.75083771661,118940.83559253441,,,,,,,,,
1111,63035.6538365632,,,,,,,,,,,,
1200,,119791.17854540928,93196.50053502602,117016.3511512584,,,,,,,,,
1204,,119781.66269443522,92793.90912415761,116933.5776269024,,,,,,,,,
1208,,119772.14684346107,92391.3177132892,116802.91860030487,,,,,,,,,
1212,48139.11335405029,,,,,,,,,,,,
1305,,119541.38745733973,77946.45067863636,113634.43720531458,,,,,,,,,
1309,,119531.87160636563,77350.78605865067,113398.79527293597,,,,,,,,,
1313,36063.385834436805,,,,,,,,,,,,
1406,,119301.11222024426,61088.0178160653,107684.47841275496,,,,,,,,,
1410,,119291.59636927016,60417.388197814354,107349.3297107162,,,,,,,,,
1414,28724.336489891095,,,,,,,,,,,,
1507,,119060.83698314877,46292.94419926581,99221.97368627689,,,,,,,,,
1511,,119051.32113217474,45710.49290035659,98676.57953475414,,,,,,,,,
1515,22890.845506802452,,,,,,,,,,,,
1600,,118839.59344800151,36421.35999973639,86541.55966337389,,,,,,,,,
1608,,118818.25978764787,35586.381761478406,85450.77136032846,,,,,,,,,
1612,,118807.59295747108,35168.89264234941,84786.13916977735,,,,,,,,,
1616,19607.569901736282,,,,,,,,,,,,
1709,,118548.92232568294,28558.75403389957,68668.80854891262,,,,,,,,,
