,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
303,,,,,,,,,,,,,
400,,444040.2856941583,444040.2856941583,,,,,,,,,,
404,,,,,,,,,,,,,
505,355153.1039430734,,,,,,,,,,,,
606,237966.94854036716,,,,,,,,,,,,
703,,442156.8945519543,409158.66017330735,,,,,,,,,,
707,142483.65891268727,,,,,,,,,,,,
800,,441553.960753955,391614.88194343826,441553.960753955,,,,,,,,,
804,,441512.66791940195,390891.42717107246,441094.1578346142,,,,,,,,,
808,101917.7531570345,,,,,,,,,,,,
905,,440470.023846936,351248.46099893545,429484.1341212581,,,,,,,,,
909,80750.22786927798,,,,,,,,,,,,
1006,,439427.3797744697,236173.34551710787,417874.11040790187,,,,,,,,,
1010,66058.9387740072,,,,,,,,,,,,
1103,,438426.0285365566,141012.07426259803,406723.8896138866,,,,,,,,,
1107,,438384.7357020034,137087.89812839142,406093.74334582855,,,,,,,,,
1111,55497.49550948923,,,,,,,,,,,,
1200,,437424.67729864357,105658.54179281055,391442.8426134807,,,,,,,,,
1204,,437357.58801973495,104306.74152031244,390812.69634542265,,,,,,,,,
1208,,437290.49874082615,102954.9412478144,389220.10534184077,,,,,,,,,
1212,47292.989742658305,,,,,,,,,,,,
1305,,435663.58372729225,87233.28235627731,350599.7735049779,,,,,,,,,
1309,,435596.4944483837,86584.96652569849,346147.9015124809,,,,,,,,,
1313,41109.471381197174,,,,,,,,,,,,
1406,,433969.5794348496,75258.82276414556,238190.005694431,,,,,,,,,
1410,,433902.49015594093,74791.76528944238,234430.06168973658,,,,,,,,,
1414,36090.424322770676,,,,,,,,,,,,
1507,,432275.57514240703,64750.935425127034,143251.4195758973,,,,,,,,,
1511,,432208.48586349835,64336.88058536146,141447.54895903074,,,,,,,,,
1515,31456.414634035562,,,,,,,,,,,,
1600,,430715.7494077815,55538.3458887308,101311.42773375055,,,,,,,,,
1608,,430497.79879944737,54747.466365438115,97703.68650001752,,,,,,,,,
1612,,430388.82349528023,54352.026603791855,97016.62473195956,,,,,,,,,
1616,27411.260878571193,,,,,,,,,,,,
1709,,427746.1723692283,46775.441214066734,80355.37685655359,,,,,,,,,
1713,,427637.19706506113,46463.00470315024,79873.5409307497,,,,,,,,,
1717,24452.58575769323,,,,,,,,,,,,
1810,,424994.5459390093,41455.91717408613,68189.01973000541,,,,,,,,,
1814,,424885.5706348421,41249.439337836055,67816.52200104088,,,,,,,,,
1818,21949.94465570092,,,,,,,,,,,,
1911,,422242.9195087899,37208.14458521245,58783.452073650406,,,,,,,,,
1915,,422133.94420462294,37041.493255207344,58462.66018634161,,,,,,,,,
1919,19503.214749336425,,,,,,,,,,,,
2000,,419818.2189910721,33775.19813480389,51645.83258103012,,,,,,,,,
2012,,419345.14962196304,33314.07411780576,50683.4569191038,,,,,,,,,
2016,,419187.4598322601,33160.36611213971,50441.163295000624,,,,,,,,,
2020,17889.86415858144,,,,,,,,,,,,
2113,,415363.4824319621,29678.488450761928,44565.542910499054,,,,,,,,,
2117,,415205.7926422591,29534.905866787558,44356.817328560144,,,,,,,,,
2121,16401.898210624953,,,,,,,,,,,,
2214,,411381.815241961,26388.285576486607,39295.22196654213,,,,,,,,,
2218,,411224.125452258,26258.52803874224,39123.130524565124,,,,,,,,,
2222,15047.93436398529,,,,,,,,,,,,
2315,,407400.14805196004,23634.271549068042,34949.91305662307,,,,,,,,,
2319,,407242.4582622569,23526.05478660726,34827.71424188622,,,,,,,,,
2323,13989.080617713533,,,,,,,,,,,,
2400,,404049.2400207709,21976.430592363937,32353.18824346554,,,,,,,,,
2416,,403164.5315100543,21670.331986093657,31864.392984518236,,,,,,,,,
2420,,402943.3543823753,21593.807334526093,31751.16531254345,,,,,,,,,
2424,13097.772442786116,,,,,,,,,,,,
2517,,397579.8090361549,19991.583831713506,29005.39426715486,,,,,,,,,
2521,,397358.63190847565,19925.51275943257,28903.416878053267,,,,,,,,,
2525,12290.118718837171,,,,,,,,,,,,
2618,,391995.08656225563,18550.470567713543,26430.465192339372,,,,,,,,,
2622,,391773.90943457634,18493.767796921005,26339.575706818203,,,,,,,,,
2626,11632.015504463707,,,,,,,,,,,,
2719,,386410.36408835603,17308.05715453045,24135.50568292958,,,,,,,,,
2723,,386189.186960677,17259.161870308166,24055.16896955624,,,,,,,,,
2727,11026.34679661429,,,,,,,,,,,,
2800,,381931.5272528527,16412.81676266669,22508.687237119757,381931.5272528527,,,,,,,,
2820,,380692.15750109864,16192.986864577995,22107.003670253136,380413.7197315868,,,,,,,,
2824,,380444.2835507479,16149.020884960259,22043.752855880735,380110.1582273336,,,,,,,,
2828,10498.141971586918,,,,,,,,,,,,
2921,,374433.34025474073,15236.768319482415,20509.920607350054,372748.7917491937,,,,,,,,
2925,,374185.46630439,15199.149656988488,20452.102867738697,372445.23024494044,,,,,,,,
2929,10006.236001629994,,,,,,,,,,,,
3022,,368174.52300838276,14341.205902293666,19050.02268216334,365083.86376680055,,,,,,,,
3026,,367926.649058032,14305.826778388731,18998.987578442247,364780.3022625473,,,,,,,,
3030,9555.464510045633,,,,,,,,,,,,
3103,,363155.0755137788,13674.436294482479,18016.561831811083,358936.74330567353,,,,,,,,
3123,,361915.7057620247,13510.438766195146,17761.386313205585,356618.05163742974,,,,,,,,
3127,,361667.83181167376,13477.639260537679,17715.94652681294,356154.3133037809,,,,,,,,
3131,9114.882067920904,,,,,,,,,,,,
3200,,357144.1322177715,12965.66653892208,16886.670425147102,347691.0887146906,,,,,,,,
3204,,356984.42772947776,12937.613239107526,16841.23063875445,347227.35038104176,,,,,,,,
3224,,356185.9052880086,12797.346740034756,16614.031706791207,340620.2982433716,,,,,,,,
3228,,356026.2007997147,12769.293440220205,16574.3364549307,339298.8878158374,,,,,,,,
3232,8720.999366206788,,,,,,,,,,,,
3305,,352951.8894000586,12336.127107530725,15810.202856615992,313861.7370858068,,,,,,,,
3325,,352153.3669585894,12223.616371767224,15611.726597313469,294738.13041838724,,,,,,,,
3329,,351993.6624702957,12201.114224614528,15579.789762165583,290913.40908490337,,,,,,,,
3333,8337.256187228775,,,,,,,,,,,,
3406,,348919.35107063944,11849.319029630753,14965.005685568822,217287.523415338,,,,,,,,
3426,,348120.82862917037,11757.943654310297,14805.321509829395,201237.36326095622,,,,,,,,
3430,,347961.1241408765,11739.668579246203,14780.028678478218,198027.33123007993,,,,,,,,
3434,7971.840715271467,,,,,,,,,,,,
3507,,344886.8127412203,11434.765881860918,14293.141674968054,136234.21463570985,,,,,,,,
3527,,344088.29029975116,11355.570376046551,14166.67751821217,129042.26374852429,,,,,,,,
3531,,343928.58581145736,11339.73127488368,14142.8944497493,127603.87357108714,,,,,,,,
3535,7669.514504827106,,,,,,,,,,,,
3600,,341173.6833883888,11112.849979648776,13732.636518764835,102791.6430102971,,,,,,,,
3608,,341154.5356898728,11086.544901940382,13685.070381839094,99914.86265542282,,,,,,,,
3628,,341106.6664435826,11020.782207669394,13566.155039524754,96659.99158994788,,,,,,,,
3632,,341097.09259432467,11007.629668815194,13545.009520847287,96009.01737685295,,,,,,,,
3636,7387.054409854749,,,,,,,,,,,,
3709,,340912.7959961077,10793.13302184734,13137.958286306031,83477.76377477447,,,,,,,,
3729,,340864.92674981756,10737.4196070505,13032.230692918694,81337.32093956489,,,,,,,,
3733,,340855.35290055955,10726.276924091131,13012.157556443077,80909.232372523,,,,,,,,
3737,7127.131849236659,,,,,,,,,,,,
3810,,340671.0563023426,10543.188673202752,12625.749679287535,72668.52745696607,,,,,,,,
3830,,340623.18705605256,10495.633283361607,12525.383996909477,70926.27741359216,,,,,,,,
3834,,340613.6132067945,10486.122205393383,12509.200595343333,70577.82740491738,,,,,,,,
3838,6902.158121291593,,,,,,,,,,,,
3911,,340429.3166085776,10315.725322578794,12197.670115194991,63870.16473792789,,,,,,,,
3931,,340381.44736228744,10271.466391977605,12116.753107364253,62337.2678447914,,,,,,,,
3935,,340371.8735130294,10262.614605857361,12101.97211378412,62030.688466164094,,,,,,,,
3939,6710.126812768894,,,,,,,,,,,,
4000,,340216.29846258654,10120.039657175214,11861.780968106983,57048.77356347049,,,,,,,,
4012,,340216.29846258654,10093.718128187738,11817.437987366582,56129.03542758857,,,,,,,,
4032,,340216.29846258654,10049.848913208614,11743.533019465918,54719.55802040902,,,,,,,,
4036,,340216.29846258654,10041.07507021279,11728.709312276374,54437.662538973076,,,,,,,,
