,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
400,,29753932.63185267,29753932.63185267,,,,,,,,,,
505,22877539.777455613,,,,,,,,,,,,
606,14973465.477169743,,,,,,,,,,,,
800,,29587867.543294996,24224077.661908712,29587867.543294996,,,,,,,,,
808,13403687.436208569,,,,,,,,,,,,
905,,29513736.196080055,22772490.73229842,28145548.418662652,,,,,,,,,
1006,,29442428.900187593,14965267.441316633,26758174.784492496,,,,,,,,,
1010,13048788.524587285,,,,,,,,,,,,
1111,12785295.693429094,,,,,,,,,,,,
1200,,29305462.41104761,13461107.450342398,24093318.497076564,,,,,,,,,
1208,,29296349.1411517,13399080.234219747,23983427.516152192,,,,,,,,,
1212,12387788.148065437,,,,,,,,,,,,
1305,,29185850.743663758,13231143.118373482,22650999.37244422,,,,,,,,,
1313,11721705.320984634,,,,,,,,,,,,
1406,,29070795.71122789,13056280.76063665,14898620.198707955,,,,,,,,,
1410,,29066239.076279927,13049355.518746084,14867351.4276771,,,,,,,,,
1414,10550089.971159486,,,,,,,,,,,,
1511,,28951184.04384404,12797569.322424112,14077814.95914794,,,,,,,,,
1515,8561094.441504566,,,,,,,,,,,,
1600,,28849798.91625203,12457071.053302009,13382084.803711355,,,,,,,,,
1608,,28835117.953081284,12426464.467313506,13319547.26164964,,,,,,,,,
1612,,28827777.47149592,12411161.174319252,13312682.638628287,,,,,,,,,
1616,6189716.532175859,,,,,,,,,,,,
1713,,28642430.311465368,11768387.449858937,13139350.907339282,,,,,,,,,
1717,5348124.876286239,,,,,,,,,,,,
1810,,28464423.633020185,10689947.817546692,12972883.79907162,,,,,,,,,
1814,,28457083.151434813,10645476.080131752,12962420.925538713,,,,,,,,,
1818,4986997.023789431,,,,,,,,,,,,
1911,,28279076.47298964,8797208.854367258,12708696.24236568,,,,,,,,,
1915,,28271735.991404276,8720991.64918109,12692638.44621142,,,,,,,,,
1919,4839571.94878546,,,,,,,,,,,,
2000,,28115750.75771519,6808329.53891944,12351410.277933553,,,,,,,,,
2012,,28082045.75604676,6538306.652764853,12303236.889470799,,,,,,,,,
2016,,28070810.75549064,6448299.0240466595,12276491.593586775,,,,,,,,,
2020,4765590.66374862,,,,,,,,,,,,
2113,,27798361.992004275,5442021.892294075,11627918.168399269,,,,,,,,,
2117,,27787126.99144814,5400525.928098091,11581028.614107763,,,,,,,,,
2121,4704396.281193706,,,,,,,,,,,,
2214,,27514678.227961775,5015920.277503732,10443956.92253864,,,,,,,,,
2218,,27503443.22740563,5000060.250675101,10364555.31923816,,,,,,,,,
2222,4635589.252154032,,,,,,,,,,,,
2315,,27230994.463919282,4794174.409824843,8439066.439201504,,,,,,,,,
2319,,27219759.463363126,4785684.272057821,8346006.975974054,,,,,,,,,
2323,4540276.1548970975,,,,,,,,,,,,
2400,,26992250.70210133,4691632.408907596,6461552.845618158,,,,,,,,,
2416,,26926880.29673855,4673054.263100148,6089314.992708351,,,,,,,,,
2420,,26910537.695397835,4668409.726648283,6047957.377328101,,,,,,,,,
2424,4397825.407162245,,,,,,,,,,,,
2517,,26514229.612885963,4607332.159567819,5045035.204356997,,,,,,,,,
2521,,26497887.01154527,4604813.497007799,5031062.49349561,,,,,,,,,
2525,4169605.430498,,,,,,,,,,,,
2618,,26101578.929033387,4548147.10936331,4692224.255106908,,,,,,,,,
2622,,26085236.327692695,4545810.351109928,4685723.505515821,,,,,,,,,
2626,3801237.452413216,,,,,,,,,,,,
2719,,25688928.2451808,4477304.876424179,4528080.32793195,,,,,,,,,
2723,,25672585.64384011,4474479.908395901,4524817.165136585,,,,,,,,,
2727,3302865.0504638506,,,,,,,,,,,,
2800,,25357990.5680317,4399784.875636595,4462001.281325844,25357990.5680317,,,,,,,,
2820,,25253056.19990098,4380383.568426383,4445685.467349029,25138103.667525843,,,,,,,,
2824,,25232069.326274827,4376503.306984342,4443309.823727045,25094126.28742466,,,,,,,,
2828,2854744.665760683,,,,,,,,,,,,
2921,,24723137.64084078,4235229.404069539,4385700.465893972,24027674.81997119,,,,,,,,
2925,,24702150.767214626,4229403.676114288,4383344.395866981,23983697.439870015,,,,,,,,
2929,2435276.9945407044,,,,,,,,,,,,
3022,,24193219.081780568,4002179.4272674825,4326209.697712477,22917245.972416535,,,,,,,,
3026,,24172232.20815444,3992809.3551500863,4323086.811314586,22873268.592315365,,,,,,,,
3030,2016106.5325032494,,,,,,,,,,,,
3123,,23663300.52272038,3635710.4136991794,4247356.8161657415,21806817.12486188,,,,,,,,
3127,,23642313.649094235,3620984.6841548122,4242911.188526764,21762839.7447607,,,,,,,,
3131,1771263.1476436737,,,,,,,,,,,,
3200,,23259303.20541705,3236739.9974500923,4161778.48411537,20960252.55791426,,,,,,,,
3224,,23181288.300583176,3110412.97716361,4135104.718281488,20696388.277307224,,,,,,,,
3228,,23168285.816444203,3089358.4737825287,4128440.2132662195,20652410.897206053,,,,,,,,
3232,1623574.9540629108,,,,,,,,,,,,
3305,,22917987.996768836,2671366.6471769796,4000148.49172231,19805846.33025844,,,,,,,,
3325,,22852975.57607395,2562797.341565148,3966825.966645971,18401359.650848743,,,,,,,,
3329,,22839973.091934964,2541083.480442783,3957698.1514297123,18120462.314966813,,,,,,,,
3333,1518209.3675133225,,,,,,,,,,,,
3406,,22589675.272259604,2217149.6906631147,3781987.7085167314,12713188.5992395,,,,,,,,
3426,,22524662.8515647,2133011.0439670966,3736348.6324354373,12573932.964822778,,,,,,,,
3430,,22511660.367425732,2116183.314627893,3721724.255523647,12546081.837939434,,,,,,,,
3434,1468857.1014439901,,,,,,,,,,,,
3527,,22196350.127055477,1799798.7351236895,3367083.115412729,11870692.011018338,,,,,,,,
3531,,22183347.642916493,1786751.9483400108,3347255.930142628,11842840.884134993,,,,,,,,
3535,1448241.3282932173,,,,,,,,,,,,
3600,,21959054.791519098,1649775.9410207928,3005236.984233354,11362408.9453973,,,,,,,,
3608,,21955862.492589306,1633894.664809868,2965582.6136931498,11306706.691630611,,,,,,,,
3628,,21947881.745264824,1594191.4742825585,2866446.6873426354,11276475.64970282,,,,,,,,
3632,,21946285.595799927,1586250.8361770967,2847757.3012509514,11270429.441317262,,,,,,,,
3636,1434382.2855922186,,,,,,,,,,,,
3729,,21907578.971276186,1495212.449864731,2394539.688527611,11123808.887967473,,,,,,,,
3733,,21905982.82181129,1491458.2896044266,2379840.4523571804,11117762.679581916,,,,,,,,
3737,1422486.5315562857,,,,,,,,,,,,
3810,,21875256.944612037,1450562.2322875329,2096880.1560763782,11001373.168159917,,,,,,,,
3830,,21867276.197287545,1439939.8797376903,2023383.975224222,10962171.057750743,,,,,,,,
3834,,21865680.04782265,1437815.4092277223,2012520.1135191652,10954330.635668905,,,,,,,,
3838,1409120.6244312904,,,,,,,,,,,,
3911,,21834954.170623403,1411913.8478482598,1803390.775696829,10803402.510593578,,,,,,,,
3931,,21826973.42329891,1405186.16956788,1749071.467171547,10745997.792771332,,,,,,,,
3935,,21825377.27383402,1403840.6339118045,1741382.350058693,10734516.849206885,,,,,,,,
3939,1392046.1676485194,,,,,,,,,,,,
4000,,21799439.84502945,1381722.3133531003,1616434.1969748163,10547951.516284574,,,,,,,,
4012,,21799439.84502945,1377638.9310961089,1593366.8456362546,10513508.685591226,,,,,,,,
4032,,21799439.84502945,1370833.294001123,1554921.2600719854,10420117.73864442,,,,,,,,
4036,,21799439.84502945,1369472.166582126,1549697.6313427307,10401439.549255056,,,,,,,,
4040,1367937.8934865235,,,,,,,,,,,,
