,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
3406,,3156317884.5258403,90798281.67795713,897901941.1766305,8216401769.356606,,,,,,,,
3426,,2977401376.1745906,77405786.72898975,803015834.1259232,8204743405.334938,,,,,,,,
3430,,2941618074.5043406,74727287.73919629,787271753.2649013,8202411732.5306015,,,,,,,,
3434,4400493.235847496,,,,,,,,,,,,
3507,,2252789517.35203,44653836.76042096,484198196.6902311,8157527031.04718,,,,,,,,
3527,,2073873009.00078,36842550.791907884,405477792.38512206,8138446804.270189,,,,,,,,
3531,,2038089707.3305304,35280293.59820528,396857386.69277495,8134630758.914794,,,,,,,,
3535,2160047.4763664207,,,,,,,,,,,,
3600,,1420827753.5187194,22976038.503313933,248155388.4997847,8068803976.534183,,,,,,,,
3608,,1404733910.6823554,21549458.20245695,230914577.11509,8061171885.823385,,,,,,,,
3628,,1364499303.591444,17983007.450314537,187812548.6533538,8053595337.733045,,,,,,,,
3632,,1356452382.173262,17269717.299886055,184607155.53888842,8052080028.114977,,,,,,,,
3636,853964.9120973459,,,,,,,,,,,,
3709,,1201549144.8732538,9281506.583760742,122903338.08542879,8022910317.967169,,,,,,,,
3729,,1161314537.782343,7206646.657494427,106876372.51310162,8020040100.745971,,,,,,,,
3733,,1153267616.3641605,6791674.672241164,104847067.87946033,8019466057.301732,,,,,,,,
3737,484439.9361657367,,,,,,,,,,,,
3810,,998364379.0641527,4242678.327753357,65782953.68186616,8008415721.000126,,,,,,,,
3830,,958129771.9732411,3580601.3551591192,55636430.513659865,8006982786.007002,,,,,,,,
3834,,950082850.555059,3448185.9606402726,54629926.13031105,8006696199.008379,,,,,,,,
3838,238308.2431996684,,,,,,,,,,,,
3911,,795179613.2550508,1995797.4063396642,35254716.75084636,8001179399.284852,,,,,,,,
3931,,754945006.1641395,1618553.6260018433,30222194.834102277,7999950339.0752735,,,,,,,,
3935,,746898084.7459574,1543104.8699342797,29561865.808152337,7999704527.033355,,,,,,,,
3939,139695.4435826436,,,,,,,,,,,,
4000,,616135611.7004961,1112050.0965345479,18831519.136465803,7995710081.35222,,,,,,,,
4012,,610429981.8840435,1032470.7537530585,16850532.05861598,7994972645.226471,,,,,,,,
4032,,600920598.8566223,899838.51578391,13548886.928866275,7982440798.243647,,,,,,,,
4036,,599018722.2511382,873312.0681900803,13301077.12080056,7979934428.84708,,,,,,,,
4040,72361.1019683818,,,,,,,,,,,,
4113,,562407597.5955666,538884.147135782,8530738.315535543,7931686817.963208,,,,,,,,
4133,,552898214.5681455,452019.7520567438,7291689.275206965,7907912442.3081665,,,,,,,,
4137,,550996337.9626613,434646.87304093613,7143911.197026354,7903157567.177158,,,,,,,,
4141,53120.19770722825,,,,,,,,,,,,
4214,,514385213.3070897,309818.14175322163,4299183.192049517,7811626220.905243,,,,,,,,
4234,,504875830.27966857,277395.09466550354,3560292.8011464435,7752592914.7211685,,,,,,,,
4238,,502973953.67418426,270910.48524795996,3485570.277277221,7740786253.484357,,,,,,,,
4242,35859.975701679126,,,,,,,,,,,,
4315,,466362829.0186127,171226.42850218655,2047161.6927946922,7513508024.675675,,,,,,,,
4335,,456853445.9911915,145334.46571107666,1673549.0734485814,7435676398.895025,,,,,,,,
4339,,454951569.3857073,140156.07315285463,1642340.963719217,7420110073.738895,,,,,,,,
4343,27936.12843041291,,,,,,,,,,,,
4400,,425947951.1520727,112028.02858411109,1166417.290346412,7182723615.107906,,,,,,,,
4416,,424037108.51116925,104650.18082837509,1041584.8514289549,7120458314.483381,,,,,,,,
4436,,421648555.21004,95427.87113370512,885544.3027821333,6949478232.460105,,,,,,,,
4440,,421170844.5498142,93583.40919477107,871506.7012124456,6915282216.055446,,,,,,,,
4444,21419.69068274737,,,,,,,,,,,,
4517,,411974914.3404663,65998.25764778077,601282.870995951,6257008900.265825,,,,,,,,
4537,,409586361.0393369,58833.28321999111,531094.8631475109,6012463982.707203,,,,,,,,
4541,,409108650.3791112,57400.28833443318,519457.4128156639,5963554999.195481,,,,,,,,
4545,15524.504685073282,,,,,,,,,,,,
4618,,399912720.1697634,44322.73748744431,295436.4939276081,5022057066.594795,,,,,,,,
4638,,397524166.8686341,40925.97103368097,237249.242268373,4828744595.213681,,,,,,,,
4642,,397046456.2084083,40246.61774292831,233447.11244231532,4790082100.937458,,,,,,,,
4646,11621.987194282108,,,,,,,,,,,,
4719,,387850525.9990604,29926.290202651486,160256.11329070476,4045829086.1201615,,,,,,,,
4739,,385461972.6979311,27245.68564673543,141245.4641604163,3930263128.658212,,,,,,,,
4743,,384984262.03770524,26709.5647355522,138643.7637681986,3907149937.165822,,,,,,,,
4747,10465.033234428478,,,,,,,,,,,,
4800,,378176885.1294868,22321.09463597131,101569.5331790971,3577786958.3992662,,,,,,,,
4820,,377277851.4757669,20781.280565942914,88561.03121800882,3462221000.937315,,,,,,,,
4840,,376378817.8220472,19241.46649591453,75552.52925692058,3346596153.7099266,,,,,,,,
4844,,376199011.0913032,18933.50368190885,74493.04448291875,3323471184.2644486,,,,,,,,
4848,9336.44161801199,,,,,,,,,,,,
4921,,372737731.524482,16080.538292578629,54097.96258338354,2878315522.439007,,,,,,,,
4941,,371838697.8707622,15339.508321324025,48800.538713374364,2738498469.720125,,,,,,,,
4945,,371658891.1400183,15191.302327073105,48049.52049935576,2710535059.1763487,,,,,,,,
4949,8568.993208017164,,,,,,,,,,,,
5022,,368197611.573197,13202.10409588335,33592.41987949719,2172239406.20865,,,,,,,,
5042,,367298577.9194773,12685.429230639253,29837.328809404058,2030969180.855861,,,,,,,,
5046,,367118771.18873334,12582.094257590441,29553.96318443392,2002715135.7853026,,,,,,,,
5050,7965.919401191574,,,,,,,,,,,,
5123,,363657491.62191206,10782.342783321112,24099.1749037589,1458824768.1770632,,,,,,,,
5143,,362758457.96819234,10314.87486792648,22682.346778908242,1335432048.601797,,,,,,,,
5147,,362578651.23744845,10221.381284847554,22458.996367185653,1310753504.686744,,,,,,,,
5151,7381.1407473007575,,,,,,,,,,,,
5200,,360196212.055091,9749.720581473171,19499.6034118613,983762797.8122879,,,,,,,,
5224,,359265625.115178,9536.138376171566,18159.50094152575,835691534.3219686,,,,,,,,
