evaluations,best
0,2554847430.9113827
1,1161243423.4029698
2,927783851.2872646
3,849473218.9684465
4,805458553.5832239
5,777168509.604008
6,772826355.4839818
7,768154939.9360058
8,765612602.9711121
9,764239976.4499991
10,762368350.5412728
11,746269590.1409726
12,717660110.3206644
13,662905124.0223534
14,566026035.8623775
15,426771911.8815018
16,377360726.75268245
17,289976682.18246186
18,152235564.00413078
19,1466457.1235617367
20,864922.7463422683
21,155492.04955292624
22,10261.94912454521
23,198.40027359722907
24,136.30477067101205
25,39.73655915175058
26,0.0001278467021568545
27,4.484208096132685e-07
28,1.0741253744955946e-10
