evaluations,best
0,5183197012.967421
1,4986804156.114368
2,4610866756.052196
3,4121649706.6620436
4,3260318437.1728578
5,2028471175.4959934
6,1120741026.3171086
7,488970824.3778926
8,357848797.63223743
9,149510643.1813248
10,111923194.49694629
11,42308912.80825139
12,42308912.80825139
13,25747130.630418953
14,25747130.630418953
15,25747130.630418953
16,25747130.630418953
17,25747130.630418953
18,25747130.630418953
19,25747130.630418953
20,10293320.555071449
21,10293320.555071449
22,10293320.555071449
23,10293320.555071449
24,10293320.555071449
25,10293320.555071449
26,10293320.555071449
27,10293320.555071449
28,10293320.555071449
29,1996691.2738501483
30,1996691.2738501483
31,1996691.2738501483
32,1996691.2738501483
33,1996691.2738501483
34,1996691.2738501483
35,1996691.2738501483
36,1787679.8867681818
37,1787679.8867681818
38,1787679.8867681818
39,1257840.4901118476
40,611262.7579318066
41,611262.7579318066
42,611262.7579318066
43,611262.7579318066
44,187895.00858031755
45,168883.7383508704
46,168883.7383508704
47,168883.7383508704
48,168883.7383508704
49,168883.7383508704
50,85338.10930206912
51,75075.78817765553
52,70985.24900085479
53,63880.104949800756
54,57921.84745431142
55,50226.48067008371
56,37464.83615051768
57,32278.106552471974
58,26037.46096332951
59,14995.116033090106
60,1876.9950700976008
61,129.25154051682523
62,0.5833437313485238
63,6.801712920277175e-11
64,6.801712920277175e-11
