evaluations,best
0,5530396405.257456
1,5389556582.016021
2,4899318479.882432
3,4148748553.4296165
4,3253450948.111913
5,1715623251.7174797
6,894594823.0185901
7,334818247.71362525
8,69528122.0665534
9,69528122.0665534
10,69528122.0665534
11,69528122.0665534
12,69528122.0665534
13,69528122.0665534
14,69528122.0665534
15,69528122.0665534
16,57476445.4850512
17,57476445.4850512
18,57476445.4850512
19,57476445.4850512
20,52857913.77801807
21,9599743.301859438
22,9599743.301859438
23,9599743.301859438
24,9599743.301859438
25,9599743.301859438
26,9599743.301859438
27,9599743.301859438
28,9599743.301859438
29,4211336.065318679
30,4211336.065318679
31,4211336.065318679
32,4211336.065318679
33,4211336.065318679
34,4211336.065318679
35,4211336.065318679
36,2926621.6640018173
37,1406500.4737018016
38,1406500.4737018016
39,1406500.4737018016
40,729118.0589625939
41,729118.0589625939
42,729118.0589625939
43,729118.0589625939
44,670700.9700450832
45,500645.0253444827
46,366213.0976626689
47,366213.0976626689
48,226179.18406702386
49,189068.61837735973
50,105344.57150543643
51,89562.91307600446
52,79400.18877252405
53,76229.42605602852
54,72898.24773238652
55,66933.32958052815
56,64056.4083897752
57,60860.93656832821
58,54786.560172056124
59,43229.92284228046
60,24442.65630087747
61,4377.539222057775
62,126.85176274377552
63,6.846131043597681e-06
64,3.6321059539297276e-09
65,7.313068737316303e-11
66,7.066770979858791e-11
