evaluations,best
0,1899207346.2449744
1,1683665424.2598772
2,1439451246.9878142
3,1106147793.9098215
4,660744767.5215789
5,426089181.04522717
6,347215691.29800457
7,252686312.08888286
8,169676167.97476867
9,138551882.80474737
10,77874956.91695097
11,77874956.91695097
12,62608253.79922201
13,62608253.79922201
14,39124195.23638249
15,39124195.23638249
16,39124195.23638249
17,39124195.23638249
18,39124195.23638249
19,39124195.23638249
20,39124195.23638249
21,39124195.23638249
22,39124195.23638249
23,21739052.442210186
24,21739052.442210186
25,12420940.428687708
26,12420940.428687708
27,12420940.428687708
28,9335441.11981299
29,7083192.184274815
30,7083192.184274815
31,3856806.8956780243
32,3856806.8956780243
33,2772499.0017884327
34,2772499.0017884327
35,2107113.2646253486
36,2107113.2646253486
37,1903674.6123739157
38,1676586.7918252118
39,1676586.7918252118
40,1172086.1099416343
41,1103604.8017264262
42,645013.0455209853
43,645013.0455209853
44,617708.0904105839
45,617708.0904105839
46,500980.8007294696
47,500980.8007294696
48,459050.1723788809
49,292994.5433717417
50,84495.1868636542
51,70466.18665706972
52,67526.76548119108
53,62091.613763201225
54,58834.05119806929
55,57519.212352605464
56,55081.8060265896
57,34737.32451280564
58,34169.007537520636
59,14526.481825901767
60,2302.0078347723465
61,805.9113099209377
62,1.9962480704303858
63,0.015515477920715798
64,7.424143237855821e-07
65,1.8836005549129014e-10
66,7.066618917572844e-11
