evaluations,best
0,5705839655.336695
1,5532070009.92501
2,5144963704.559813
3,4899187131.341522
4,4402619233.729554
5,3450767391.0127897
6,2146697663.988209
7,1197566324.0237544
8,506424262.0796973
9,480843080.4138816
10,480843080.4138816
11,480843080.4138816
12,480843080.4138816
13,480843080.4138816
14,480843080.4138816
15,480843080.4138816
16,304882885.45850927
17,304882885.45850927
18,304882885.45850927
19,304882885.45850927
20,109049927.82407051
21,95596953.55477722
22,80737035.33052325
23,65076642.32611491
24,62383883.630369276
25,58846908.73427221
26,55327718.08867046
27,52004510.17442389
28,47316816.19358088
29,45495434.811686546
30,44618662.45912245
31,43649235.53858847
32,42407590.12105491
33,41237330.84978703
34,39118259.223854296
35,35076782.101573125
36,28027260.64925255
37,21490560.734600626
38,10340997.566663362
39,5458191.461982638
40,1397217.9997816123
41,400905.96092161624
42,1340.5024011478613
43,213.36511720094927
44,18.302239922466992
45,0.14165484497960745
46,0.0006230899288742968
47,2.498297423751499e-07
48,1.6712363672857044e-10
49,1.0736090648454238e-10
