evaluations,best
0,4770645441.647027
1,4619835544.585956
2,3235982066.48847
3,2792953165.70862
4,2551161397.796367
5,2356439646.958877
6,2337018410.3140845
7,2314982256.962658
8,2307544366.5011387
9,2302293764.508747
10,2301336857.042548
11,2299748323.8310447
12,2240090220.6368966
13,2134584113.019238
14,1939071463.5475867
15,1598345963.6035905
16,1144155657.5684536
17,1041226098.1744589
18,862662657.701886
19,565138784.3447169
20,345446032.2933003
21,187514896.07214633
22,10272993.307151048
23,6490699.516792825
24,1511763.943813153
25,63105.18548877999
26,130.67309000056594
27,60.01387162079488
28,0.48009325267062236
29,0.009761334010095818
30,1.7159368958198231e-06
31,9.354371532385037e-10
32,1.0720594175497611e-10
