evaluations,best
0,10973327336.469889
1,10655227305.264843
2,7434640382.286392
3,6350489289.66787
4,5970774015.721259
5,5799864652.019686
6,5745393436.745072
7,5695990984.138193
8,5676995500.336528
9,5669812352.200775
10,5661820773.802622
11,5651558457.688311
12,5633110880.394752
13,5482427640.64702
14,5193517035.502615
15,2895254665.601714
16,2393073619.387458
17,2311351845.252548
18,1595948703.1123881
19,796935689.614567
20,660888833.1859853
21,414664384.47718567
22,69113442.11528341
23,43335672.827616945
24,7321556.570760402
25,2563387.497360746
26,1808015.4001859135
27,606933.6307561512
28,12175.426953183238
29,7163.425110154009
30,616.4418391763722
31,4.81799593464638e-05
32,2.2006864513784017e-08
33,1.0743229186918211e-10
34,1.0743229186918211e-10
