num_evaluations,best
44,2139573979.2906394
55,238903832.81619462
77,154505797.0534489
88,26559030.931244157
110,22574779.021240782
121,19529210.89281228
132,6279459.510485596
143,5476514.302440182
154,5354542.951717694
165,5308942.618570529
176,5034135.460571851
187,4572448.227592855
198,3692065.2904357994
209,2842571.495727351
220,2475943.822807299
231,2411070.1328809466
242,2401778.3514055526
253,2390004.5445725867
264,2324497.198699802
275,2186146.377061402
286,1869280.8015792237
297,1298667.05810855
308,691465.1439692079
319,596772.7521973646
330,363501.3067063069
341,349721.1687386594
352,346672.37896426045
374,345674.4331849431
385,344309.0165750112
396,340619.163992296
407,337035.89922953135
418,330932.7944634601
429,320497.39339291345
440,291732.11790219945
451,236939.62763611512
473,226658.5263643916
484,135048.7309806082
495,50075.76423443481
506,19731.708965513324
528,18438.440295175522
539,15120.939262595777
550,14753.309578263115
561,14345.59830434564
572,14252.619554246923
583,13594.79333110381
594,13306.642317924554
616,13300.932577370848
627,13273.121932854921
638,13266.55139223608
649,13244.389444821858
660,13233.211943124787
671,13209.555518986877
682,13187.662898792501
693,13143.104138530647
704,13010.056872517682
715,12769.270261927126
726,12340.469996345559
737,11353.533762874858
748,9922.078991175713
770,9234.99220550865
781,7679.291752232947
792,6416.784434972977
814,5684.633625292534
825,5348.072019246657
836,5183.245666898639
847,5116.292601054447
858,5084.629899845012
869,5074.113416937214
880,5050.076362464672
891,5046.150927936065
902,5036.29444562611
924,5031.314233766125
935,5015.268805133946
946,4967.962074947358
957,4909.114098539409
968,4816.399280001642
979,4712.99423450043
990,4591.255698003654
1001,4503.138719701041
1012,4220.890080879397
1023,3764.6270495266544
1034,2908.012603368865
1045,2008.848864304814
1067,1811.6588273694208
1078,1594.75199945541
1089,1393.867354229409
1100,1379.7060573151894
1111,1374.4032544676559
1122,1362.041264777609
1133,1345.4622052312936
1144,1337.0093307413517
1155,1319.727392299287
1166,1312.8788227803238
1177,1311.0202822070703
1188,1309.80495185956
1199,1307.7692969812713
1221,1306.7123071562191
1232,1304.872334971437
1243,1301.3989622217698
1254,1295.1209375258895
1265,1286.7331944848127
1276,1274.4230772558208
1287,1263.0022688186536
1309,1262.1933752988843
1320,1259.87888909841
1331,1258.4323992555803
1342,1257.0873481298363
1353,1256.0360492113866
1375,1255.9100623634606
1386,1255.6374123226665
1397,1253.850206256283
1419,1250.61085949599
1430,1243.8317731745196
1441,1240.1154165375624
1463,1236.383382036806
1474,1233.1717778045543
1485,1232.4211685627204
1496,1232.2139348561702
1507,1231.9580166872322
1529,1231.901624990847
1540,1231.7270731087863
1551,1231.4127156005866
1562,1231.1070262000483
1573,1230.526972246925
1584,1229.2531789698335
1595,1227.3000227303037
1606,1224.7260378973122
1617,1217.2517984678352
1628,1184.0794066000494
1639,1146.1446607516186
1661,1144.9054410824447
1672,1100.836694517393
1683,1075.0479634380201
1694,1068.6347854551218
1705,1066.0371194980398
1716,1061.7582515194947
1727,1050.0059525217039
1738,1029.524584385356
1760,1025.622599870891
1771,1000.7814675625626
1782,984.1759161300489
1793,970.2568438765474
1815,967.4485110828573
1826,960.9244427862327
1837,953.6316692597572
1848,945.8791533534709
1859,936.8417704533337
1870,931.3110092170903
1881,919.3367894011939
1892,896.0482938871676
1903,869.0812743055492
1914,857.1056101222953
1925,841.6120246813757
1936,837.0325261207407
1958,833.155254055323
1969,825.6313108928148
1980,803.8385235292915
1991,775.8906251625955
2002,757.255664991183
2013,747.6161054940277
2024,742.3035755429796
2035,738.6743335024602
2046,734.0926144689355
2057,723.9698609165875
2068,709.5180626935542
2090,704.5943240806065
2101,683.4526901125042
2112,665.0175793510759
2123,642.7802438002099
2134,611.015172932181
2145,566.1246062692683
2167,554.9018313553423
2178,536.291479740379
2189,521.0566625988475
2200,518.839594854247
2211,501.9167577500584
2222,493.92853806544
2233,474.32519424103225
2244,442.7667149907566
2255,380.6753599207269
2277,361.0897807265262
2288,288.5565055384044
2299,282.65630802395816
2310,279.44684217135637
2321,279.1221843529783
2332,278.0654557168066
2343,273.0181696281951
2354,263.9916379655701
2365,218.11833825707586
2387,207.9872176706895
2398,168.51478182752672
2420,138.02739485265164
2431,97.49091910454864
2442,67.97685078115705
2453,53.854125889113845
2464,45.583175216879596
2475,42.37002721888027
2486,39.91840408206108
2497,38.94979176025571
2508,37.86187228828818
2519,36.578378291887574
2530,35.20575118655711
2541,34.59363572214887
2552,34.109734842907194
2574,33.97786643753781
2585,33.790164914141315
2596,33.46203131694755
2607,32.672584345547385
2618,32.13032514377624
2629,31.004014225951174
2651,30.382753767024262
2662,29.989963940267188
2684,29.49269615533856
2695,28.9014857865929
2706,27.90434463942091
2717,25.50163588680795
2728,21.589066377728194
2739,17.18434008045898
2761,14.54365254478594
2772,12.90768696599735
2783,12.453402525315163
2794,12.375305065646604
2805,11.861408806862102
2816,11.345926839363063
2827,10.997722835053326
2838,10.52873081405396
2849,10.204323401320046
2860,9.574333989255194
2882,9.282884024897898
2893,9.196916965334895
2904,8.936286108375254
2915,8.828580500468501
2926,8.648056515087221
2937,8.09732342008584
2948,7.053600909588323
2959,5.505735578570433
2981,4.697284860103982
2992,3.413858344440796
3003,2.8955762389590887
3014,2.7819309933249188
3025,2.50428455183425
3047,2.4039849114184837
3058,2.156835311387382
3069,2.0172271205499057
3080,1.9426134888564381
3091,1.851717251552966
3102,1.6349668891905957
3113,1.2840947761812394
3124,1.0453668982201103
3146,0.8090380279589628
3157,0.6887885969096251
3168,0.6223485737870005
3179,0.6093011514652247
3201,0.6061655070856866
3212,0.5921761024197613
3223,0.5512851570104184
3234,0.5060001947920105
3256,0.485291811979135
3267,0.4484731149577814
3278,0.44227456728415415
3289,0.42986638531476523
3300,0.4231240861315127
3311,0.4035954121032088
3322,0.37141687282082136
3333,0.35747283133409813
3344,0.34629926582593984
3355,0.32661298856995613
3366,0.2956652995833336
3377,0.24221175663835148
3388,0.10860953701553616
3399,0.09208601418609404
3410,0.0647900248762868
3421,0.06127597566250834
3432,0.06033185284542603
3443,0.05995620776807391
3454,0.05877382218369508
3465,0.05817704112344662
3476,0.057392625665939355
3487,0.056562729317659634
3509,0.05589894197034621
3520,0.05455944622539816
3531,0.052779285487137916
3542,0.05106686187577547
3553,0.049214182108220934
3564,0.04734318243310802
3575,0.046139861682724784
3586,0.045236581256348225
3597,0.04489870918497228
3608,0.044819316074107635
3619,0.044384633999071985
3641,0.044007364920904374
3652,0.043432814349643495
3663,0.0428348414593944
3674,0.04236167054583729
3685,0.04168134506936453
3696,0.041011084517545766
3707,0.039928503348787746
3718,0.03901706954241513
3740,0.03786654162707271
3751,0.034493772855846865
3762,0.02994900881509925
3773,0.023206053798315415
3784,0.019702980794891807
3795,0.018034011022043342
3806,0.01730742860573489
3828,0.016629776631815547
3839,0.01594966935463998
3850,0.01490422690706795
3861,0.014698895307265834
3872,0.014383728377604722
3894,0.014238893056572376
3905,0.013879856964569327
3916,0.012704547958087785
3927,0.01198874310321458
3938,0.01110826638005253
3960,0.01095270281558795
3971,0.010463553623088928
3982,0.01029624920688568
3993,0.01011912068233834
4004,0.010067977391880267
4015,0.00970344432882505
4026,0.009480818297936485
4037,0.009034989446309786
4048,0.008853563606945095
4059,0.008345248790465287
4070,0.008046592409666762
4081,0.007847351152970479
4092,0.007680636247882503
4103,0.007276940377961895
4114,0.006783271081514291
4125,0.006008476878620985
4136,0.004746837991308577
4147,0.003453811012737719
4158,0.003022268898889147
4169,0.0024489564076362468
4180,0.0020319008929594686
