evaluations,best
0,3024632169.3824177
1,2852476801.6882296
2,2584070108.4839106
3,2085770079.5209918
4,1351314517.800839
5,834174492.0642762
6,277657196.4795036
7,59545848.04527323
8,33223734.42803741
9,33223734.42803741
10,15339636.593484648
11,15339636.593484648
12,15339636.593484648
13,7753380.07451416
14,7753380.07451416
15,7753380.07451416
16,7753380.07451416
17,7753380.07451416
18,7753380.07451416
19,7753380.07451416
20,6797577.569239963
21,6797577.569239963
22,6797577.569239963
23,4252123.053912286
24,4252123.053912286
25,4252123.053912286
26,1131983.8372038668
27,1131983.8372038668
28,1131983.8372038668
29,1131983.8372038668
30,1131983.8372038668
31,806312.3980286547
32,524451.4242300715
33,524451.4242300715
34,387643.99453839194
35,358517.9660307872
36,358517.9660307872
37,254292.91215520134
38,217503.5927327117
39,214995.2956576957
40,214995.2956576957
41,214995.2956576957
42,214995.2956576957
43,173745.140150287
44,167679.0078363359
45,167679.0078363359
46,156019.45336812944
47,147149.82308040827
48,146507.85529273353
49,144445.1230995261
50,125674.49695056016
51,111100.05960702068
52,102159.7734574626
53,101436.56191344412
54,95460.26906922995
55,87837.12414961078
56,83356.05561614301
57,83356.05561614301
58,61200.402155545875
59,61200.402155545875
60,61200.402155545875
61,60929.426592613745
62,57334.06592980872
63,55168.376791861156
64,40939.626243273815
65,24836.38266605543
66,24836.38266605543
67,19974.709515791834
68,15236.955713943384
69,15236.955713943384
70,15236.955713943384
71,15195.49906426092
72,12468.423638755487
73,12468.423638755487
74,10556.339405790923
75,9657.290582136056
76,9657.290582136056
77,9657.290582136056
78,9657.290582136056
79,9657.290582136056
80,8352.625537423253
81,7484.948733506648
82,7386.49735734364
83,6767.208803468802
84,4689.635426959477
85,4689.635426959477
86,3354.3330319055226
87,3354.3330319055226
88,2249.8002496766644
89,2249.8002496766644
90,2249.8002496766644
91,2249.8002496766644
92,2059.4416039425005
93,2059.4416039425005
94,1740.0258510843532
95,1740.0258510843532
96,1175.7518760101684
97,1020.6048012437027
98,802.3609875886223
99,726.5363287094492
100,699.7442110233698
101,325.7740359238286
102,325.7740359238286
103,209.10128288991362
104,139.4618997101873
105,139.4618997101873
106,83.87781713776478
107,83.87781713776478
108,69.20374639442262
109,37.66560400729565
110,37.66560400729565
111,21.86617230477638
112,21.86617230477638
113,21.86617230477638
114,16.259381012013144
115,6.580208998587957
116,6.580208998587957
117,4.539420585581389
118,3.289970978154674
119,3.289970978154674
120,2.9915266904943305
121,2.1075230904768403
122,2.1075230904768403
123,0.9027960126454306
124,0.9027960126454306
125,0.8702843642274225
126,0.5595718644499131
127,0.5096567933166473
128,0.26160120573722234
129,0.26160120573722234
130,0.26160120573722234
131,0.15728890918314958
132,0.15728890918314958
133,0.08059843054682062
134,0.08059843054682062
135,0.06268072508525512
136,0.036346188717004485
137,0.036346188717004485
138,0.03194487891662481
139,0.02876167195641278
140,0.02343529982982325
141,0.009489816967362338
142,0.009489816967362338
143,0.0046093130951578385
144,0.0046093130951578385
145,0.0046093130951578385
146,0.001986268259119281
147,0.001986268259119281
148,0.0015587140487957885
149,0.0015587140487957885
150,0.001135447145300851
151,0.0008072880171331787
152,0.0008072880171331787
153,0.0004130872850495385
154,0.0004130872850495385
155,0.0004130872850495385
156,0.0003749794922248158
157,0.0002409631998644839
158,0.00015457152019888087
159,0.00015457152019888087
160,0.00011014161259447295
161,7.852898606811474e-05
162,6.331670075779157e-05
163,3.422350285110473e-05
164,3.422350285110473e-05
165,3.422350285110473e-05
166,2.7865245200494415e-05
167,2.7865245200494415e-05
168,2.0330406756430184e-05
169,1.1476940058848859e-05
170,4.044625971366485e-06
171,4.044625971366485e-06
172,4.044625971366485e-06
173,3.4068351474939607e-06
174,3.138429461312591e-06
175,3.138429461312591e-06
176,2.38578623748103e-06
177,2.38578623748103e-06
178,2.38578623748103e-06
179,2.38578623748103e-06
180,6.440551502395834e-07
181,6.440551502395834e-07
182,6.440551502395834e-07
183,6.440551502395834e-07
184,6.440551502395834e-07
185,3.6283446636886726e-07
186,3.6283446636886726e-07
187,1.9923475720161408e-07
188,1.4059449280777144e-07
189,1.4059449280777144e-07
190,8.179479182542687e-08
191,6.677292964321642e-08
192,6.677292964321642e-08
193,2.5743814683518844e-08
194,2.5743814683518844e-08
195,2.5453430614178085e-08
196,1.9489850001029945e-08
197,1.0387843276524945e-08
198,1.0387843276524945e-08
199,9.311501717845438e-09
200,3.953473459438109e-09
201,3.953473459438109e-09
202,3.6211500947845035e-09
203,3.3521045186898658e-09
204,1.7172853005714897e-09
205,1.7172853005714897e-09
206,9.512560639530642e-10
207,6.369330264181579e-10
208,6.369330264181579e-10
209,2.2720460048997916e-10
210,2.2720460048997916e-10
211,1.8809147717517148e-10
212,1.8809147717517148e-10
213,1.8809147717517148e-10
