evaluations,best
0,1950091045.5946155
1,1319146058.625548
2,1162056287.7927659
3,1127607331.6299844
4,1111609602.3665361
5,1099641639.608573
6,1094401249.6018147
7,1088071915.6393428
8,1086250581.6611695
9,1083883305.779014
10,1080743168.5751612
11,1074735076.7482667
12,839708761.0359572
13,719359838.911509
14,620873844.0788449
15,560453200.4483576
16,452196687.7536094
17,319923570.575529
18,148146919.63393295
19,26217422.105525214
20,7940977.348620605
21,2971671.3182677077
22,856970.972087906
23,31.655227550843065
24,0.0012335828720401014
25,2.0498701257949298e-09
26,1.0486589514219755e-10
27,1.0486589514219755e-10
