evaluations,best
0,16477387060.259659
1,16145506465.327679
2,15508659776.730585
3,14269776010.31675
4,13020577025.650318
5,9499383057.692026
6,7720234658.816787
7,4848577585.837362
8,2982727654.357758
9,1895540122.415484
10,1895540122.415484
11,1895540122.415484
12,1895540122.415484
13,1895540122.415484
14,1895540122.415484
15,1895540122.415484
16,1895540122.415484
17,1895540122.415484
18,1895540122.415484
19,1895540122.415484
20,1895540122.415484
21,1895540122.415484
22,1895540122.415484
23,1895540122.415484
24,1895540122.415484
25,1895540122.415484
26,1895540122.415484
27,1895540122.415484
28,1895540122.415484
29,1895540122.415484
30,1895540122.415484
31,1895540122.415484
32,1895540122.415484
33,1778438409.931384
34,1778438409.931384
35,1040983273.0695187
36,1040983273.0695187
37,1040983273.0695187
38,1040983273.0695187
39,1040983273.0695187
40,1040983273.0695187
41,1040983273.0695187
42,988430589.8461362
43,988430589.8461362
44,963660578.9631029
45,591322446.5423154
46,591322446.5423154
47,591322446.5423154
48,453212030.89350086
49,453212030.89350086
50,385693466.857314
51,371998013.7352586
52,305720996.7076904
53,305720996.7076904
54,305720996.7076904
55,303904208.5172872
56,303904208.5172872
57,303904208.5172872
58,303904208.5172872
59,265636841.8638721
60,245387960.63317028
61,165400461.053122
62,165400461.053122
63,165400461.053122
64,165400461.053122
65,165400461.053122
66,165400461.053122
67,165400461.053122
68,165400461.053122
69,165400461.053122
70,160129217.3853864
71,160129217.3853864
72,133692463.37862983
73,133692463.37862983
74,133692463.37862983
75,111138700.43618445
76,89718976.80984084
77,89718976.80984084
78,86108690.18283063
79,86108690.18283063
80,86108690.18283063
81,60797836.32076147
82,60797836.32076147
83,60797836.32076147
84,57557635.67937036
85,57557635.67937036
86,57557635.67937036
87,36113030.65010859
88,36113030.65010859
89,36113030.65010859
90,36113030.65010859
91,31951276.171889827
92,31951276.171889827
93,31951276.171889827
94,31951276.171889827
95,31951276.171889827
96,31951276.171889827
97,31951276.171889827
98,31832673.16923259
99,31832673.16923259
100,31832673.16923259
101,31832673.16923259
102,31832673.16923259
103,31832673.16923259
104,30505312.499561794
105,30505312.499561794
106,29774850.336743504
107,28219828.845841773
108,28219828.845841773
109,28219828.845841773
110,27438624.986226283
111,27438624.986226283
112,27438624.986226283
113,27156456.904773742
114,27156456.904773742
115,27156456.904773742
116,27156456.904773742
117,27156456.904773742
118,22760227.05967627
119,22760227.05967627
120,22760227.05967627
121,22760227.05967627
122,21288863.41693571
123,21288863.41693571
124,21288863.41693571
125,18133754.533149984
126,16047707.423121551
127,12263650.632892666
128,12263650.632892666
129,12263650.632892666
130,12263650.632892666
131,12263650.632892666
132,11282172.766626261
133,11282172.766626261
134,10639558.475473827
135,10639558.475473827
136,10639558.475473827
137,9839116.146547027
138,9839116.146547027
139,9839116.146547027
140,8370402.3322693715
141,8370402.3322693715
142,8370402.3322693715
143,8370402.3322693715
144,8370402.3322693715
145,8177468.305633896
146,6033226.814184583
147,5249107.022025333
148,5249107.022025333
149,5249107.022025333
150,5249107.022025333
151,5249107.022025333
152,5249107.022025333
153,5249107.022025333
154,5249107.022025333
155,5179749.64916361
156,4716402.632950108
157,4716402.632950108
158,4716402.632950108
159,4367583.663938757
160,4367583.663938757
161,3784458.285404298
162,3784458.285404298
163,3288264.730512595
164,3288264.730512595
165,3288264.730512595
166,3288264.730512595
167,3016090.456117078
168,2690203.9446924157
169,2690203.9446924157
170,2442955.860429563
171,2336474.1422811756
172,2336474.1422811756
173,2336474.1422811756
174,2336474.1422811756
175,2336474.1422811756
176,2218196.8713547774
177,2194419.4117340995
178,2133928.547548263
179,1616029.2191778794
180,1616029.2191778794
181,1616029.2191778794
182,1616029.2191778794
183,1616029.2191778794
184,1492279.0248373384
185,1492279.0248373384
186,1492279.0248373384
187,1492279.0248373384
188,1492279.0248373384
189,1331797.3780201324
190,1274550.3682623815
191,1274550.3682623815
192,1274550.3682623815
193,1274550.3682623815
194,1274550.3682623815
195,1200199.2310792827
196,1200199.2310792827
197,1200199.2310792827
198,1200199.2310792827
199,1051083.5659181473
200,556066.044213544
201,466667.41426352406
202,379857.735495424
203,336160.59486945183
204,318125.306896123
205,289179.32335696986
206,258108.4090110455
207,248493.47700938466
208,237345.1949341995
209,222879.80675755185
210,210974.50613024735
211,195507.60990118218
212,172079.77716747473
213,166756.87423791323
214,159038.59249071107
215,153180.79174999875
216,147157.08859130833
217,141705.2370281565
218,136102.09303465593
219,132194.2653355507
220,127159.3157036749
221,124138.07655469433
222,120446.82701643893
223,118484.78191942169
224,116242.07376717843
225,112453.10091743532
226,107225.05682362625
227,106314.26583021329
228,105467.88632265895
229,104216.39864230625
230,102817.47650263805
231,101986.51342345911
232,100826.49689495943
233,92034.65348646008
234,89443.85992719031
235,88867.33723610188
236,83446.16874999566
237,83268.15005024154
238,81595.4868932773
239,67396.71425640759
240,51086.40370631898
241,43854.98220041818
242,33129.37775200584
243,18925.889011304695
244,15382.496754491154
245,11473.072299467218
246,5716.453292023248
247,3427.689600596192
248,590.0351377759071
249,121.51469294123935
250,58.318157553613084
251,3.201842899000962
252,0.8838321610233435
253,0.08909248983159804
254,2.101805648748165e-05
255,1.077015395835819e-07
256,2.2706758826171354e-10
257,2.2589207338852765e-10
258,2.2589207338852765e-10
