evaluations,best
0,17450081511.850224
1,17005490749.657637
2,16055948945.209759
3,15237488628.64036
4,12821776948.907484
5,9653486119.746756
6,6229130608.537344
7,2452873326.7086363
8,2452873326.7086363
9,2452873326.7086363
10,2452873326.7086363
11,2452873326.7086363
12,2452873326.7086363
13,2452873326.7086363
14,2452873326.7086363
15,2452873326.7086363
16,2452873326.7086363
17,2452873326.7086363
18,2452873326.7086363
19,2452873326.7086363
20,2452873326.7086363
21,2452873326.7086363
22,2452873326.7086363
23,2452873326.7086363
24,2417885014.6591964
25,1260804461.3148525
26,1260804461.3148525
27,1260804461.3148525
28,1260804461.3148525
29,1260804461.3148525
30,1260804461.3148525
31,1127205929.2078662
32,949884239.5458858
33,949884239.5458858
34,949884239.5458858
35,949884239.5458858
36,949884239.5458858
37,949884239.5458858
38,922553422.1486955
39,658335548.3746296
40,658335548.3746296
41,658335548.3746296
42,658335548.3746296
43,584675030.9684137
44,584675030.9684137
45,584675030.9684137
46,522488164.85555553
47,522488164.85555553
48,522488164.85555553
49,520480820.434556
50,361044705.7820933
51,361044705.7820933
52,361044705.7820933
53,361044705.7820933
54,361044705.7820933
55,361044705.7820933
56,361044705.7820933
57,361044705.7820933
58,361044705.7820933
59,224255518.14553532
60,224255518.14553532
61,224255518.14553532
62,224255518.14553532
63,224255518.14553532
64,224255518.14553532
65,224255518.14553532
66,224255518.14553532
67,190698314.5692349
68,190698314.5692349
69,190698314.5692349
70,190698314.5692349
71,190698314.5692349
72,177475708.46272972
73,177475708.46272972
74,113367572.83204475
75,113367572.83204475
76,113367572.83204475
77,113367572.83204475
78,113367572.83204475
79,113367572.83204475
80,113367572.83204475
81,113367572.83204475
82,113367572.83204475
83,99667929.98671193
84,82559655.50541067
85,81620313.9039495
86,72389774.2310303
87,51918626.27922409
88,51918626.27922409
89,51918626.27922409
90,48009747.69265355
91,48009747.69265355
92,48009747.69265355
93,33720162.37783768
94,33720162.37783768
95,31175700.798630305
96,31175700.798630305
97,23504976.087404937
98,23504976.087404937
99,23504976.087404937
100,23504976.087404937
101,23504976.087404937
102,23504976.087404937
103,23072459.682437018
104,22190720.532937158
105,22190720.532937158
106,22190720.532937158
107,22190720.532937158
108,17690731.938721955
109,15659660.98470066
110,15659660.98470066
111,15659660.98470066
112,15659660.98470066
113,13201802.871825693
114,13201802.871825693
115,13201802.871825693
116,13201802.871825693
117,12802582.327339815
118,12802582.327339815
119,12802582.327339815
120,12802582.327339815
121,10297283.866234094
122,10297283.866234094
123,10297283.866234094
124,10297283.866234094
125,10297283.866234094
126,9510944.157089315
127,9510944.157089315
128,9510944.157089315
129,9510944.157089315
130,9510944.157089315
131,9464293.977915008
132,9464293.977915008
133,7720145.380522582
134,6909227.372075132
135,6909227.372075132
136,6909227.372075132
137,6909227.372075132
138,6909227.372075132
139,6909227.372075132
140,6909227.372075132
141,6620934.77711031
142,6620934.77711031
143,6620934.77711031
144,6620934.77711031
145,6620934.77711031
146,6440080.766801004
147,6295874.302957446
148,6295874.302957446
149,5949523.5495759165
150,5540493.954514058
151,5540493.954514058
152,5423649.502145022
153,4873745.0429088855
154,4873745.0429088855
155,4873745.0429088855
156,4873745.0429088855
157,4873745.0429088855
158,4873745.0429088855
159,4873745.0429088855
160,4759241.930517414
161,4759241.930517414
162,4755007.43658396
163,4492097.051124038
164,4199130.320918344
165,4199130.320918344
166,4199130.320918344
167,4199130.320918344
168,4199130.320918344
169,4199130.320918344
170,4199130.320918344
171,4119974.80547091
172,3947960.151750319
173,3947960.151750319
174,3682348.2150450437
175,3171214.2258738815
176,3171214.2258738815
177,3026844.118344105
178,3026844.118344105
179,3026844.118344105
180,3026844.118344105
181,3026844.118344105
182,3026844.118344105
183,3026844.118344105
184,3026844.118344105
185,3026844.118344105
186,2917571.282360384
187,2578648.5354731013
188,2578648.5354731013
189,2336465.7175307935
190,2336465.7175307935
191,1987114.6521195748
192,1987114.6521195748
193,1987114.6521195748
194,1987114.6521195748
195,1927254.8894859643
196,1821630.5179051661
197,1821630.5179051661
198,1821630.5179051661
199,1821630.5179051661
200,1186009.2069467197
201,1035961.5533727629
202,885866.8758756911
203,720477.2573277373
204,578713.5629928189
205,513379.1149250048
206,434316.5320771579
207,406537.59568869654
208,377706.28518403927
209,351340.73334922973
210,316831.7173849725
211,274305.7324435544
212,225717.07436814217
213,207878.8651642748
214,199447.3192806827
215,194184.71425161368
216,187477.31342266628
217,180472.2487386166
218,173210.67792238566
219,166464.59202312594
220,157847.67094786954
221,150571.38342399485
222,144054.92830133735
223,140145.28024431138
224,135154.24190915845
225,133975.76186872972
226,131800.25291367783
227,128040.24680119201
228,126575.03183632583
229,124306.06415518126
230,120622.64958774071
231,117864.62666080703
232,116749.80525082315
233,114654.69561587865
234,112275.8617884111
235,107855.99398796316
236,106811.12521636019
237,98440.22915209041
238,96475.52292420583
239,92861.15242523656
240,86311.9319388989
241,76145.85776109318
242,59345.36426976952
243,33754.270959580426
244,21614.36435215289
245,16423.881771158492
246,8094.470010640507
247,3884.1071695218066
248,2296.0206385379793
249,826.2283180142108
250,207.01612382295508
251,26.52392154841725
252,16.708316395177004
253,3.7832759986308444
254,0.739624801160885
255,0.0013310789342393557
256,6.453779271256997e-06
257,4.1091936982489853e-10
258,2.2558518616895856e-10
