% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.235000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
289 0 +1.249020612e-02 +3.993249021e+01 +3.993249021e+01
300 0 +7.277194833e-03 +3.992727719e+01 +3.992727719e+01
311 0 +5.904626819e-03 +3.992590463e+01 +3.992590463e+01
322 0 +3.335046911e-03 +3.992333505e+01 +3.992333505e+01
344 0 +1.716186827e-03 +3.992171619e+01 +3.992171619e+01
366 0 +9.704812293e-04 +3.992097048e+01 +3.992097048e+01
399 0 +8.604597463e-04 +3.992086046e+01 +3.992086046e+01
410 0 +6.748571603e-04 +3.992067486e+01 +3.992067486e+01
421 0 +3.771269429e-04 +3.992037713e+01 +3.992037713e+01
432 0 +3.306801826e-04 +3.992033068e+01 +3.992033068e+01
443 0 +2.422950199e-04 +3.992024230e+01 +3.992024230e+01
454 0 +1.180484505e-04 +3.992011805e+01 +3.992011805e+01
465 0 +1.095509250e-04 +3.992010955e+01 +3.992010955e+01
476 0 +9.581945883e-05 +3.992009582e+01 +3.992009582e+01
487 0 +7.030482148e-05 +3.992007030e+01 +3.992007030e+01
498 0 +3.589390189e-05 +3.992003589e+01 +3.992003589e+01
509 0 +3.275494989e-05 +3.992003275e+01 +3.992003275e+01
520 0 +2.764701476e-05 +3.992002765e+01 +3.992002765e+01
531 0 +2.010279016e-05 +3.992002010e+01 +3.992002010e+01
542 0 +1.462274315e-05 +3.992001462e+01 +3.992001462e+01
553 0 +9.810911166e-06 +3.992000981e+01 +3.992000981e+01
564 0 +7.407555557e-06 +3.992000741e+01 +3.992000741e+01
575 0 +4.244676532e-06 +3.992000424e+01 +3.992000424e+01
597 0 +3.947774466e-06 +3.992000395e+01 +3.992000395e+01
608 0 +3.300614821e-06 +3.992000330e+01 +3.992000330e+01
619 0 +1.943322452e-06 +3.992000194e+01 +3.992000194e+01
641 0 +1.128866458e-06 +3.992000113e+01 +3.992000113e+01
674 0 +1.107639193e-06 +3.992000111e+01 +3.992000111e+01
7154 0 +8.101884816e-07 +3.992000081e+01 +3.992000081e+01
14717 0 +7.941689262e-07 +3.992000079e+01 +3.992000079e+01
14727 0 +5.033639070e-07 +3.992000050e+01 +3.992000050e+01
14886 0 +5.005320460e-07 +3.992000050e+01 +3.992000050e+01
14919 0 +4.364140693e-07 +3.992000044e+01 +3.992000044e+01
15616 0 +3.844411367e-07 +3.992000038e+01 +3.992000038e+01
15639 0 +3.240403217e-07 +3.992000032e+01 +3.992000032e+01
15646 0 +2.815006184e-07 +3.992000028e+01 +3.992000028e+01
15664 0 +2.257845964e-07 +3.992000023e+01 +3.992000023e+01
15700 0 +1.937810410e-07 +3.992000019e+01 +3.992000019e+01
15710 0 +1.778143357e-07 +3.992000018e+01 +3.992000018e+01
15752 0 +1.566924794e-07 +3.992000016e+01 +3.992000016e+01
15770 0 +1.178306022e-07 +3.992000012e+01 +3.992000012e+01
16398 0 +1.045765998e-07 +3.992000010e+01 +3.992000010e+01
16440 0 +5.985636164e-08 +3.992000006e+01 +3.992000006e+01
16486 0 +5.228794464e-08 +3.992000005e+01 +3.992000005e+01
16497 0 +4.973104950e-08 +3.992000005e+01 +3.992000005e+01
16525 0 +4.431752387e-08 +3.992000004e+01 +3.992000004e+01
