num_evaluations,best
400,24121590988.06786
800,23672820977.53364
1200,22773359187.944332
1600,21343147564.478184
2000,19292217897.980385
2400,16378090177.599518
2800,10792211121.143261
3200,9079652798.303352
3600,8010970952.662651
4000,8010970952.662651
4400,8010970952.662651
4800,8010970952.662651
5200,8010970952.662651
5600,8010970952.662651
6000,8010970952.662651
6400,8010970952.662651
6800,8010970952.662651
7200,8010970952.662651
7600,8010970952.662651
8000,8010970952.662651
8400,8010970952.662651
8800,8010970952.662651
9200,8010970952.662651
9600,8010970952.662651
10000,8010970952.662651
10400,8010970952.662651
10800,8010970952.662651
11200,8010970952.662651
11600,8010970952.662651
12000,7436153698.562014
12400,7436153698.562014
12800,6257027836.718508
13200,6257027836.718508
13600,5401616006.461318
14000,5401616006.461318
14400,5401616006.461318
14800,5401616006.461318
15200,4173295479.1831837
15600,4173295479.1831837
16000,4173295479.1831837
16400,4173295479.1831837
16800,4004120845.158105
17200,4004120845.158105
17600,4004120845.158105
18000,2677817259.315647
18400,2677817259.315647
18800,2677817259.315647
19200,2677817259.315647
19600,2677817259.315647
20000,2677817259.315647
20400,2677817259.315647
20800,2393088436.8108015
21200,1936776890.923651
21600,1936776890.923651
22000,1893689024.4141548
22400,1893689024.4141548
22800,1893689024.4141548
23200,1893689024.4141548
23600,1893689024.4141548
24000,1728334055.4271967
24400,1712776502.7976239
24800,1551673316.7161214
25200,1332843926.8417418
25600,1102626677.9381185
26000,1102626677.9381185
26400,1102626677.9381185
26800,1032686459.3774607
27200,1032686459.3774607
27600,1032686459.3774607
28000,990364508.7882345
28400,930773147.1004561
28800,681099306.1107432
29200,681099306.1107432
29600,552334864.8019493
30000,552334864.8019493
30400,552334864.8019493
30800,552334864.8019493
31200,552334864.8019493
31600,552334864.8019493
32000,552334864.8019493
32400,552334864.8019493
32800,471114712.3014225
33200,471114712.3014225
33600,471114712.3014225
34000,459160712.14869815
34400,333688273.0347539
34800,314715273.42068815
35200,314715273.42068815
35600,314715273.42068815
36000,314715273.42068815
36400,314715273.42068815
36800,314715273.42068815
37200,314715273.42068815
37600,314715273.42068815
38000,314715273.42068815
38400,314715273.42068815
38800,292984626.7679279
39200,292984626.7679279
39600,292984626.7679279
40000,292984626.7679279
40400,292984626.7679279
40800,256089169.8255404
41200,256089169.8255404
41600,256089169.8255404
42000,256089169.8255404
42400,256089169.8255404
42800,256089169.8255404
43200,210383843.11055604
43600,191819919.77664745
44000,191819919.77664745
44400,191819919.77664745
44800,163724754.13302225
45200,163724754.13302225
45600,163724754.13302225
46000,163724754.13302225
46400,160401394.62417474
46800,139309401.61978915
47200,139309401.61978915
47600,139309401.61978915
48000,139309401.61978915
48400,115905938.35225782
48800,115905938.35225782
49200,115905938.35225782
49600,113536478.00090343
50000,108028865.47403005
50400,105344578.18958522
50800,105344578.18958522
51200,99339598.18165964
51600,99339598.18165964
52000,99339598.18165964
52400,99339598.18165964
52800,99339598.18165964
53200,99339598.18165964
53600,99339598.18165964
54000,99339598.18165964
54400,99339598.18165964
54800,99275678.99704833
55200,97648637.54157355
55600,79229873.36116081
56000,79229873.36116081
56400,79229873.36116081
56800,79229873.36116081
57200,79229873.36116081
57600,79229873.36116081
58000,67007914.83259736
58400,67007914.83259736
58800,67007914.83259736
59200,67007914.83259736
59600,65353700.55984601
60000,65353700.55984601
60400,65353700.55984601
60800,65353700.55984601
61200,65353700.55984601
61600,65353700.55984601
62000,65353700.55984601
62400,65353700.55984601
62800,65353700.55984601
63200,64321042.510151215
63600,64321042.510151215
64000,60931392.11895347
64400,60931392.11895347
64800,60931392.11895347
65200,60931392.11895347
65600,60931392.11895347
66000,60931392.11895347
66400,50450994.62426089
66800,50450994.62426089
67200,50450994.62426089
67600,50450994.62426089
68000,50450994.62426089
68400,50450994.62426089
68800,50450994.62426089
69200,49185851.59763332
69600,48300561.113700785
70000,48300561.113700785
70400,48035333.2451198
70800,42887408.442461
71200,42479017.9742689
71600,42479017.9742689
72000,42479017.9742689
72400,41777614.89705959
72800,41777614.89705959
73200,37443209.48003103
73600,37443209.48003103
74000,37443209.48003103
74400,37443209.48003103
74800,37443209.48003103
75200,37443209.48003103
75600,37443209.48003103
76000,37443209.48003103
76400,37443209.48003103
76800,37443209.48003103
77200,37443209.48003103
77600,37443209.48003103
78000,35397074.07608866
