num_evaluations,best
400,20435182135.17372
800,20099534979.244152
1200,19468521178.245117
1600,18476991482.56258
2000,16151136078.700777
2400,14506780162.347437
2800,11046956835.421074
3200,8897409559.711145
3600,7802071234.936968
4000,7802071234.936968
4400,7802071234.936968
4800,7802071234.936968
5200,7802071234.936968
5600,7802071234.936968
6000,7802071234.936968
6400,7802071234.936968
6800,7802071234.936968
7200,7802071234.936968
7600,7802071234.936968
8000,7802071234.936968
8400,7802071234.936968
8800,7802071234.936968
9200,7802071234.936968
9600,7409876269.456563
10000,7409876269.456563
10400,7409876269.456563
10800,7409876269.456563
11200,7409876269.456563
11600,7409876269.456563
12000,7409876269.456563
12400,7409876269.456563
12800,7409876269.456563
13200,7409876269.456563
13600,7409876269.456563
14000,7409876269.456563
14400,6953619651.340244
14800,6953619651.340244
15200,5980710333.638166
15600,4392319426.568203
16000,4392319426.568203
16400,4392319426.568203
16800,4392319426.568203
17200,4392319426.568203
17600,4392319426.568203
18000,4392319426.568203
18400,4392319426.568203
18800,4392319426.568203
19200,4392319426.568203
19600,3370353446.7517505
20000,3370353446.7517505
20400,3057949607.926044
20800,3057949607.926044
21200,3057949607.926044
21600,2965719033.4947276
22000,2587893120.9890265
22400,2587893120.9890265
22800,2484096525.986632
23200,2484096525.986632
23600,2464999309.3863134
24000,2150752798.120184
24400,2052229617.6572802
24800,1800658582.5344183
25200,1800658582.5344183
25600,1379486741.1723616
26000,1379486741.1723616
26400,1285933536.4143991
26800,1285933536.4143991
27200,1224413607.090495
27600,1224413607.090495
28000,1224413607.090495
28400,1133804101.4398234
28800,1084575992.2554798
29200,1069214880.5985546
29600,1069214880.5985546
30000,1007415721.6726428
30400,1007415721.6726428
30800,969261006.2214746
31200,956035767.0615736
31600,763529696.4128093
32000,624973590.7516645
32400,624973590.7516645
32800,624973590.7516645
33200,624973590.7516645
33600,624973590.7516645
34000,567572948.6104274
34400,567572948.6104274
34800,558499089.0628809
35200,558499089.0628809
35600,558499089.0628809
36000,558499089.0628809
36400,479992021.0077827
36800,479992021.0077827
37200,444940959.61350054
37600,444940959.61350054
38000,444940959.61350054
38400,396172491.1189258
38800,396172491.1189258
39200,396172491.1189258
39600,396172491.1189258
40000,396172491.1189258
40400,396172491.1189258
40800,396172491.1189258
41200,390696915.106102
41600,344391189.43222725
42000,344391189.43222725
42400,344391189.43222725
42800,344391189.43222725
43200,344391189.43222725
43600,332330343.7814783
44000,332330343.7814783
44400,332330343.7814783
44800,332330343.7814783
45200,330720692.59110117
45600,300326554.21544397
46000,287664884.1962222
46400,287664884.1962222
46800,241857542.79320192
47200,241857542.79320192
47600,241857542.79320192
48000,241857542.79320192
48400,235994170.992256
48800,235994170.992256
49200,235994170.992256
49600,223787601.12295702
50000,202435957.62098733
50400,180003345.4088301
50800,180003345.4088301
51200,143067232.95574054
51600,143067232.95574054
52000,143067232.95574054
52400,143067232.95574054
52800,143067232.95574054
53200,141159157.44887263
53600,141159157.44887263
54000,123991485.93987459
54400,123991485.93987459
54800,123991485.93987459
55200,123991485.93987459
55600,123991485.93987459
56000,123991485.93987459
56400,123991485.93987459
56800,123991485.93987459
57200,123991485.93987459
57600,123991485.93987459
58000,123991485.93987459
58400,123991485.93987459
58800,96854617.57048762
59200,96854617.57048762
59600,96854617.57048762
60000,96854617.57048762
60400,96854617.57048762
60800,96854617.57048762
61200,96854617.57048762
61600,96854617.57048762
62000,96854617.57048762
62400,96854617.57048762
62800,96854617.57048762
63200,96854617.57048762
63600,81704163.88146743
64000,81704163.88146743
64400,81704163.88146743
64800,75318672.4805459
65200,75318672.4805459
65600,67023811.86852451
66000,67023811.86852451
66400,67023811.86852451
66800,67023811.86852451
67200,67023811.86852451
67600,67023811.86852451
68000,58221310.53063189
68400,58221310.53063189
68800,58221310.53063189
69200,54708129.25191258
69600,54708129.25191258
70000,54708129.25191258
70400,54708129.25191258
70800,54708129.25191258
71200,54708129.25191258
71600,54708129.25191258
72000,54505961.25821271
72400,54505961.25821271
72800,53723258.10209909
73200,53723258.10209909
73600,53723258.10209909
74000,53723258.10209909
74400,53719048.233585075
74800,53719048.233585075
75200,53719048.233585075
75600,45806759.151435316
76000,45806759.151435316
76400,45806759.151435316
76800,45806759.151435316
77200,41308096.43852242
77600,41211330.96876003
78000,37412655.313367456
78400,37412655.313367456
78800,37412655.313367456
79200,37412655.313367456
79600,37412655.313367456
80000,36000309.07866789
80400,35114577.89868529
80800,33767457.64227741
81200,32275104.159867663
81600,32275104.159867663
82000,31788607.663379677
82400,31788607.663379677
82800,31694380.1129679
83200,30481835.0712818
83600,30481835.0712818
84000,30481835.0712818
84400,30481835.0712818
84800,28919752.262892306
85200,28919752.262892306
85600,28165619.088917084
86000,28165619.088917084
86400,28165619.088917084
86800,26792940.59849334
87200,24323189.52529938
87600,24323189.52529938
88000,24323189.52529938
88400,24323189.52529938
88800,24323189.52529938
89200,24323189.52529938
89600,24323189.52529938
90000,24323189.52529938
90400,24323189.52529938
90800,24323189.52529938
91200,24323189.52529938
91600,21532089.155958593
92000,21532089.155958593
92400,21532089.155958593
92800,21532089.155958593
93200,21532089.155958593
93600,21532089.155958593
94000,21532089.155958593
94400,21532089.155958593
94800,21532089.155958593
95200,21532089.155958593
95600,18921994.18578381
96000,18921994.18578381
96400,18887601.832621887
96800,16912272.349286526
97200,16415175.930177046
97600,16415175.930177046
98000,15061955.121077351
98400,15061955.121077351
98800,15061955.121077351
99200,15061955.121077351
99600,15061955.121077351
100000,15061955.121077351
100400,15061955.121077351
100800,15061955.121077351
101200,14116660.005617645
101600,14116660.005617645
102000,14116660.005617645
102400,14116660.005617645
102800,14116660.005617645
103200,14116660.005617645
103600,14116660.005617645
104000,14116660.005617645
104400,13925534.189150047
104800,12769903.966078127
105200,12769903.966078127
105600,12202130.283900553
106000,11693871.617525728
106400,11495734.840513652
106800,11048613.0100759
107200,11048613.0100759
107600,10684244.677691525
108000,10684244.677691525
