evaluations,best
0,5705839655.336695
1,5532070009.92501
2,5144963704.559813
3,4899187131.341522
4,4402619233.729554
5,3450767391.0127897
6,2146697663.988209
7,1197566324.0237544
8,506424262.0796973
9,480843080.4138816
10,480843080.4138816
11,480843080.4138816
12,480843080.4138816
13,480843080.4138816
14,480843080.4138816
15,480843080.4138816
16,304882885.45850927
17,304882885.45850927
18,304882885.45850927
19,304882885.45850927
20,304882885.45850927
21,202917153.02918062
22,198033634.05675873
23,194265869.57037035
24,154310631.61984807
25,154310631.61984807
26,102564435.75155894
27,102564435.75155894
28,102564435.75155894
29,102564435.75155894
30,102564435.75155894
31,102564435.75155894
32,74418213.85708363
33,74418213.85708363
34,74418213.85708363
35,74418213.85708363
36,74418213.85708363
37,56340409.19015568
38,46665252.88932124
39,34683693.96488214
40,34683693.96488214
41,28350693.572324455
42,27813922.072983265
43,10959758.008252878
44,10959758.008252878
45,10959758.008252878
46,10959758.008252878
47,10959758.008252878
48,10959758.008252878
49,10959758.008252878
50,10959758.008252878
51,10959758.008252878
52,10959758.008252878
53,9579938.16213438
54,9579938.16213438
55,9579938.16213438
56,9449853.505354468
57,6424832.515375744
58,6424832.515375744
59,6424832.515375744
60,5990534.627787132
61,5990534.627787132
62,5990534.627787132
63,4712716.336200601
64,4193518.236560306
65,2716979.852926984
66,2671251.811643428
67,2671251.811643428
68,2671251.811643428
69,2302341.9257936124
70,2119769.9017893667
71,1990820.8034578562
72,1990820.8034578562
73,1990820.8034578562
74,1372933.7650490724
75,1372933.7650490724
76,1372933.7650490724
77,1372933.7650490724
78,1347653.3280171556
79,1347653.3280171556
80,1184746.3903787949
81,1184746.3903787949
82,1184746.3903787949
83,1184746.3903787949
84,1007675.7934218094
85,928221.4740112396
86,861824.3579330788
87,733290.9450143302
88,733290.9450143302
89,733290.9450143302
90,733290.9450143302
91,733290.9450143302
92,614766.3436006149
93,614766.3436006149
94,612042.9533358619
95,421798.5142914648
96,379730.58647030074
97,379730.58647030074
98,379730.58647030074
99,314165.02764802333
100,188988.72730469698
101,155040.37896360736
102,150008.78398314537
103,140388.0048461402
104,124036.6286482208
105,102579.38440026614
106,97167.04450227311
107,94572.44899242892
108,90351.72898647583
109,87827.14437509421
110,85577.4973079289
111,83592.40042459214
112,81231.54829747611
113,76814.6065400015
114,69043.00917655397
115,66902.59584871065
116,50343.611628332466
117,25868.700221611383
118,25642.300543217236
119,17248.289661944993
120,5011.5589425157705
121,2220.4001457221257
122,310.4140848968646
123,13.6288720956195
124,0.1301300952102489
125,0.0005296598678324104
126,1.5997145134669385e-06
127,7.056707412911984e-09
128,1.1440164364165585e-10
129,1.071124060625657e-10
