evaluations,best
0,3198799625.12579
1,2958815349.0164104
2,2521919481.4514337
3,2322877172.4555197
4,1609434198.9190114
5,918586408.1435215
6,573081508.9855763
7,573081508.9855763
8,273513982.69247144
9,273513982.69247144
10,273513982.69247144
11,273513982.69247144
12,273513982.69247144
13,273513982.69247144
14,273513982.69247144
15,273513982.69247144
16,75766613.66556954
17,75766613.66556954
18,75766613.66556954
19,75766613.66556954
20,75766613.66556954
21,75766613.66556954
22,75766613.66556954
23,50690628.24301581
24,50690628.24301581
25,50690628.24301581
26,50690628.24301581
27,43568772.06340729
28,43568772.06340729
29,43568772.06340729
30,26304690.38015989
31,26304690.38015989
32,26304690.38015989
33,19647236.93591628
34,19647236.93591628
35,19519804.967036624
36,19519804.967036624
37,13241941.092947468
38,13149360.78441442
39,10384768.421053566
40,10384768.421053566
41,7271844.891749289
42,6852686.798135152
43,5276605.192002521
44,4941877.745900682
45,4941877.745900682
46,4016054.6592282667
47,4016054.6592282667
48,4016054.6592282667
49,3873540.4282739284
50,3873540.4282739284
51,3070918.521968797
52,2591036.3290650714
53,1695163.4082420093
54,1695163.4082420093
55,1695163.4082420093
56,1171113.5802524055
57,1171113.5802524055
58,1171113.5802524055
59,1171113.5802524055
60,1056953.8550372396
61,1056953.8550372396
62,1056953.8550372396
63,1056953.8550372396
64,993705.7861816877
65,993705.7861816877
66,993705.7861816877
67,872408.549148426
68,836906.4113910664
69,733666.5189010246
70,701881.8918536981
71,626192.2398636977
72,626192.2398636977
73,590708.5137948783
74,547798.6016994579
75,547798.6016994579
76,547798.6016994579
77,547798.6016994579
78,547798.6016994579
79,432538.57905579987
80,432538.57905579987
81,432538.57905579987
82,432538.57905579987
83,432538.57905579987
84,432538.57905579987
85,417964.5322174822
86,347967.65048609325
87,285923.2613953912
88,285923.2613953912
89,285923.2613953912
90,260195.2986266355
91,246704.0639072265
92,227171.93559246368
93,227171.93559246368
94,226124.89042053593
95,185076.91747935986
96,185076.91747935986
97,176284.10577355375
98,176284.10577355375
99,176284.10577355375
100,75539.76645478823
101,52018.02674038928
102,39789.68454742257
103,34940.08419540858
104,33141.849277021945
105,30508.46378280668
106,26116.976813382626
107,25448.229737501162
108,24510.451032092373
109,23076.12499730307
110,20912.53015189021
111,20156.687869793794
112,18966.561570517806
113,16744.613656873258
114,16379.17132861408
115,16218.842328979981
116,14810.885994130189
117,12318.998918764188
118,11880.670311787146
119,7918.47841043236
120,3154.0115637901754
121,1003.7196946278943
122,0.13882650509870234
123,0.0020685133330391
124,5.520637934377201e-08
125,1.2417546646179543e-10
126,1.0718970161552696e-10
127,1.0718970161552696e-10
