evaluations,best
0,12882534624.280811
1,12442936445.19088
2,12021040619.00185
3,11200426216.373459
4,9337850757.044693
5,7517482612.902279
6,5440863475.277544
7,2739555606.160244
8,2739555606.160244
9,2643717477.2108235
10,2643717477.2108235
11,2643717477.2108235
12,2643717477.2108235
13,2643717477.2108235
14,2643717477.2108235
15,2643717477.2108235
16,2643717477.2108235
17,2643717477.2108235
18,2643717477.2108235
19,2469090409.6024437
20,2469090409.6024437
21,2469090409.6024437
22,2469090409.6024437
23,2469090409.6024437
24,2191598784.981032
25,2191598784.981032
26,2191598784.981032
27,1922717498.836008
28,1477146484.4680893
29,1323155552.2005477
30,1323155552.2005477
31,1251615749.879524
32,1251615749.879524
33,1251615749.879524
34,1251615749.879524
35,1251615749.879524
36,1251615749.879524
37,1251615749.879524
38,1251615749.879524
39,1251615749.879524
40,1251615749.879524
41,1251615749.879524
42,1251615749.879524
43,1251615749.879524
44,1251615749.879524
45,1251615749.879524
46,1251615749.879524
47,1087965270.7597172
48,901766831.9446684
49,901766831.9446684
50,622100331.9699287
51,622100331.9699287
52,518767828.5539897
53,518767828.5539897
54,438786720.5212979
55,267379706.09998173
56,267379706.09998173
57,267379706.09998173
58,267379706.09998173
59,267379706.09998173
60,267379706.09998173
61,267379706.09998173
62,267379706.09998173
63,267379706.09998173
64,267379706.09998173
65,267379706.09998173
66,252554888.2915496
67,252554888.2915496
68,252554888.2915496
69,238396446.30583164
70,238396446.30583164
71,201187836.52066734
72,201187836.52066734
73,171318377.3332841
74,139745550.7100125
75,133626438.27345213
76,129760503.85554276
77,120806399.1109445
78,120806399.1109445
79,106352995.0082688
80,103383034.25041541
81,89107688.16660605
82,79615806.02517888
83,79615806.02517888
84,72606235.09137915
85,72606235.09137915
86,72606235.09137915
87,72602358.18759233
88,72602358.18759233
89,52862868.616772965
90,52862868.616772965
91,52862868.616772965
92,52862868.616772965
93,52862868.616772965
94,52862868.616772965
95,49402783.61736175
96,49402783.61736175
97,44431194.19328307
98,32994321.647296015
99,32994321.647296015
100,22963721.15274991
