evaluations,best
0,3128272868.3832445
1,2901580553.0274577
2,2770099475.281179
3,2059468952.4778972
4,1680558217.090252
5,1249821896.7142224
6,719516542.408667
7,455252824.78057563
8,286505653.3849002
9,220576952.25310397
10,220576952.25310397
11,220576952.25310397
12,220576952.25310397
13,211232508.0093494
14,211232508.0093494
15,159376322.98391464
16,159376322.98391464
17,159376322.98391464
18,159376322.98391464
19,159376322.98391464
20,96978826.51160042
21,96286237.80195326
22,96286237.80195326
23,62951653.814972766
24,62951653.814972766
25,62951653.814972766
26,54184302.54188246
27,54184302.54188246
28,54184302.54188246
29,54184302.54188246
30,54184302.54188246
31,51060761.05982278
32,48659701.20415046
33,30987765.47692375
34,30987765.47692375
35,30987765.47692375
36,25422179.399358764
37,25422179.399358764
38,17501148.48735076
39,17469218.047576346
40,8722171.71283393
41,7308218.589738079
42,5710723.615779013
43,4781118.616776177
44,3527293.2905704025
45,2822307.0541736437
46,2524652.4210895295
47,2291948.9354383787
48,2206409.0670187036
49,2098074.940606002
50,1936960.3570071221
51,1739739.6807953618
52,1676532.7004167193
53,1596280.7992675772
54,1457112.2479166377
55,1247487.2599177544
56,889227.275041919
57,494892.4391679308
58,414759.7751448962
59,276183.7531446794
60,88366.96352122624
61,23153.09566542747
62,3668.6754089536444
63,390.8319112977669
64,2.6088300669711986
65,0.013757187712123009
66,4.993161719052685e-06
67,4.250678425893555e-09
68,1.1473893778640054e-10
69,1.0706582664556952e-10
