num_evaluations,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
1321,,263973.56562592945,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.35972883,741840.1509523138,,,,,,
1330,,248550.43949779906,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.30583383,741776.3452030962,,,,,,
1332,,233127.31336966864,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.25193884,741726.2901712166,,,,,,
1341,,217704.18724153834,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.246976316,741676.2351393371,,,,,,
1343,,202281.06111340792,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.24201379,741644.9235387204,,,,,,
1352,,186857.93498527756,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.22692852,741613.6119381036,,,,,,
1354,,171434.8088571472,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.21184324,741587.2481926623,,,,,,
1360,,156011.68272901681,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.19252289,741560.884447221,,,,,,
1363,,148594.53245919815,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.173202544,741534.5207017796,,,,,,
1365,,141177.38218937948,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.1538822,741472.8742382462,,,,,,
1374,,133760.23191956079,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.09435232,741411.2277747128,,,,,,
1376,,126343.08164974212,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.034822434,741356.4300828197,,,,,,
1385,,118925.93137992345,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.02586787,741301.6323909266,,,,,,
1387,,111508.78111010478,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.01691332,741280.8554400455,,,,,,
1396,,104091.63084028609,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.00995026,741260.0784891642,,,,,,
1398,,96674.48057046742,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.00298719,741255.8625868151,,,,,,
1400,,89257.33030064874,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.99997959,741251.6466844658,,,,,,
1407,,83092.99363590898,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.99697199,741247.4307821167,,,,,,
1409,,76928.65697116921,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.99396439,741247.0947572396,,,,,,
1418,,70764.32030642945,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.99010913,741246.7587323624,,,,,,
1420,,64599.98364168969,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.98625387,741246.4165141584,,,,,,
1429,,58435.64697694992,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.98316082,741246.0742959541,,,,,,
1431,,52271.31031221016,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.980067775,741245.7398028679,,,,,,
1440,,46106.9736474704,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.97610439,741245.4053097817,,,,,,
1442,,45416.03428430451,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.97214102,741245.0778547771,,,,,,
1451,,44725.09492113862,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.968589894,741244.7503997725,,,,,,
1453,,44034.155557972714,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.96503878,739882.9260975105,,,,,,
1462,,43343.216194806824,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.96485478,738521.1017952483,,,,,,
1464,,42652.276831640935,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.96467077,738302.5727971937,,,,,,
1473,,41961.33746847503,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.96447375,738084.0437991389,,,,,,
1475,,41270.39810530914,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.96427672,738043.8049370953,,,,,,
1480,,40579.45874214325,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.96413238,738003.5660750516,,,,,,
1484,,39787.45718715861,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.96398804,737963.3272130078,,,,,,
1486,,38995.455632173966,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963843696,737950.8158975875,,,,,,
1495,,38203.45407718934,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.96382278,737938.3045821671,,,,,,
1497,,37411.452522204694,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.96380186,737935.3625405614,,,,,,
1506,,36619.45096722005,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.96379091,737932.4204989555,,,,,,
1508,,35827.44941223542,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.96377996,737930.0476224713,,,,,,
1517,,35035.44785725078,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.96377821,737927.674745987,,,,,,
1519,,34243.44630226614,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737925.3254798123,,,,,,
1520,,33451.4447472815,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737922.9762136376,,,,,,
1528,,32312.414643347973,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737920.6269474628,,,,,,
1539,,31173.38453941445,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737915.262429044,,,,,,
1541,,30034.35443548092,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737914.4835667589,,,,,,
1550,,28895.324331547396,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737913.704704474,,,,,,
1560,,27756.29422761387,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737912.6688778884,,,,,,
1561,,27366.395145552495,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737911.6330513027,,,,,,
1572,,26976.49606349112,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737911.0803903622,,,,,,
1583,,26586.596981429746,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737910.5287453779,,,,,,
1594,,26196.69789936837,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737909.7051993493,,,,,,
1600,,25806.798817306997,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737909.0543258971,,,,,,
1605,,24995.17181370295,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737908.4034524449,,,,,,
1616,,24183.544810098905,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737907.8267072146,,,,,,
1627,,23371.917806494857,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737907.6196259907,,,,,,
1638,,22560.290802890806,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737907.5119085332,,,,,,
1640,,21748.66379928676,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737907.4189584859,,,,,,
1649,,21480.750761933974,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737907.3260084388,,,,,,
1660,,21212.837724581186,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737907.1098627823,,,,,,
1671,,20944.9246872284,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737907.0647274185,,,,,,
1680,,20677.01164987561,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.9943330272,,,,,,
1682,,19746.67394706775,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.9239386357,,,,,,
1693,,18816.336244259892,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.7200028301,,,,,,
1704,,17885.99854145203,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.5493655936,,,,,,
1715,,16955.660838644173,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.505496146,,,,,,
1720,,16025.323135836312,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.4785209349,,,,,,
1726,,15359.445913424754,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.4515457238,,,,,,
1737,,14693.568691013197,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.3972411047,,,,,,
1748,,14027.691468601639,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.3813561411,,,,,,
1759,,13361.81424619008,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.3794062055,,,,,,
1760,,12695.937023778522,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.379342761,,,,,,
1770,,12236.58256612522,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.3792793164,,,,,,
1781,,11777.228108471918,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.3792126168,,,,,,
1792,,11317.873650818616,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.3792045282,,,,,,
1800,,10858.519193165313,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.3791975479,,,,,,
1803,,10715.935044068543,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.3791905676,,,,,,
1814,,10573.350894971774,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.3791798474,,,,,,
1825,,10430.766745875004,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.3791305006,,,,,,
1836,,10288.182596778232,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.3790413045,,,,,,
1840,,10145.598447681463,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.3790053206,,,,,,
1847,,10145.598447681463,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.3789693366,,,,,,
1858,,10145.598447681463,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.37894537,,,,,,
1869,,10145.598447681463,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.3789404565,,,,,,
1880,,10145.598447681463,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964532.963776454,737906.3788736393,,,,,,
