num_evaluations,best
40,6333418613.4438925
80,5787890886.391361
120,5530738665.6536875
160,4453014539.717262
200,3673852761.464284
240,1481272563.6425767
280,500143261.7177198
320,186866412.46202335
360,121297224.200315
400,112149989.74174002
422,80939059.71163577
433,64925572.631992646
444,44303334.82843773
466,42254314.55072308
477,40099561.05111786
488,37828808.764480054
499,36368015.484086275
510,33594895.489356786
521,28301177.64254158
532,18621339.714181863
543,5565756.841398892
565,1188266.568661394
576,3495.9519732308513
587,36.07334001467462
598,9.34756765583214
609,9.64121836126821e-05
620,2.5565338272712987e-08
631,7.074019397229824e-11
642,7.074019397229824e-11
