evaluations,best
0,10066543207.91453
1,9723807521.682669
2,9217426546.77048
3,8622015433.150604
4,7248721212.271509
5,6087913733.987733
6,3472418824.8043613
7,2744344251.3835773
8,1753833053.2714648
9,1753833053.2714648
10,1753833053.2714648
11,1753833053.2714648
12,1753833053.2714648
13,1753833053.2714648
14,1753833053.2714648
15,1753833053.2714648
16,1722210860.7282073
17,1722210860.7282073
18,1703881942.554103
19,1703881942.554103
20,1433958814.973378
21,1433958814.973378
22,1433958814.973378
23,1433958814.973378
24,1016421663.2421411
25,973497767.7993386
26,973497767.7993386
27,946944446.1086291
28,946944446.1086291
29,946944446.1086291
30,946944446.1086291
31,946944446.1086291
32,946944446.1086291
33,873570097.6338997
34,864684837.6987219
35,815942525.4917612
36,728703697.1560724
37,715317286.1899534
38,546605481.686856
39,546605481.686856
40,546605481.686856
41,546605481.686856
42,546605481.686856
43,406239925.48476297
44,406239925.48476297
45,362657802.70007336
46,362657802.70007336
47,319093847.7361303
48,286874160.3074411
49,231684821.49098128
50,231684821.49098128
51,210768233.4244026
52,203458235.0917911
53,173510245.17841053
54,173510245.17841053
55,155884079.5964393
56,136241353.55008215
57,136241353.55008215
58,129002184.36209829
59,129002184.36209829
60,129002184.36209829
61,129002184.36209829
62,105447595.02253212
63,101273581.86832252
64,101273581.86832252
65,70257543.09568925
66,70257543.09568925
67,70257543.09568925
68,70257543.09568925
69,70257543.09568925
70,70257543.09568925
71,70257543.09568925
72,64675002.7013941
73,62692489.544612624
74,60175617.46982982
75,55555682.95368551
76,49975187.956812076
77,49975187.956812076
78,49975187.956812076
79,42274317.35642671
80,33549422.68396825
81,33328896.62834912
82,33328896.62834912
83,33328896.62834912
84,32834333.58682682
85,32834333.58682682
86,29166353.68115267
87,29166353.68115267
88,28855374.261548117
89,28855374.261548117
90,25331383.9310834
91,25331383.9310834
92,25331383.9310834
93,25331383.9310834
94,18063639.4441649
95,18063639.4441649
96,18063639.4441649
97,18063639.4441649
98,18063639.4441649
99,18063639.4441649
100,6920221.640626283
101,5928829.556541529
102,4642439.868353127
103,3410844.5483380365
104,2853797.4042693046
105,2573153.532390522
106,2405384.8751899707
107,2260025.2355239103
108,2174420.6957721678
109,2068028.3620436965
110,2013547.8549911252
111,1962207.8225357092
112,1896443.8962404847
113,1831339.2725471125
114,1797311.9544085832
115,1749553.0111531166
116,1689506.842707123
117,1670797.5607194877
118,1663162.7863622473
119,1650696.7109104877
120,1632211.3280923218
121,1608796.918375178
122,1605593.8447114949
123,1599502.1029100157
124,1588798.5605762491
125,1571143.581170321
126,1550854.847528394
127,1524893.3491274258
128,1496053.068841485
129,1467530.4380616583
130,1438942.567357744
131,1398613.0736454232
132,1339530.1825349361
133,1281511.4801488149
134,1196723.5558982783
135,1066160.8345870394
136,890915.9793358025
137,652805.535540901
138,616345.4838111647
139,548886.1719076971
140,459581.2889847782
141,326189.2172420268
142,262354.2105280062
143,200631.95116327528
144,113114.45802604947
145,35918.00022376148
146,9700.456201181172
147,4441.868350463837
148,3427.9741369519556
149,1740.5092685081472
150,454.913758452848
151,71.70941263143173
152,43.70501732286444
153,7.0415349924723385
154,0.6448208493910986
155,0.0452854637169796
156,0.006478681228098004
157,4.197257258957428e-05
158,3.789237389239966e-07
159,4.156495062595736e-10
160,2.2646751812261898e-10
161,2.2589555280522283e-10
