num_evaluations,best
40,6800665762.754787
80,6673292862.988331
124,3839499044.8585935
146,3596728026.549274
168,3575285631.3318133
179,3556410606.056785
201,3551570758.4312053
212,3542284298.8771453
245,3208090570.230648
256,2573451718.1519246
278,2327647604.4939876
289,1858293342.6090798
300,1201073941.2249317
311,257374016.2163784
322,46799.8655103528
333,11592.555720328764
344,255.02252166509152
355,3.658718425300197
366,0.0037458110131603373
377,2.7475852839071336e-06
388,1.3539840085803422e-10
399,7.020466295244211e-11
